,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
464,1640,20070403,52.933,51.394,0.9206,,,
473,1760,20070926,27.072,26.082,0.9206,,,
474,1778,20071022,21.661,21.228,0.9206,,,
480,1948,20080701,11.668,11.587,0.9206,,,
500,2500,20100908,7.7927,7.7016,0.9206,,,
507,2726,20110802,5.1131,5.1095,0.9206,,,
591,4159,20170518,3.8667,3.7746,0.9206,,,
595,4190,20170703,3.5813,3.5537,0.9206,,,
596,4191,20170704,3.5537,3.5444,0.9206,,,
617,4449,20180718,3.48,3.4616,0.9206,,,
671,5352,20220331,2.3,2.27,1.25,,,
683,5569,20230309,1.81,1.805,1.805,,,
