<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,D,20050622,000000,4.64745,4.64745,4.4774,4.55249,90032.031247147,0
AMB,D,20050623,000000,4.4774,4.5024,4.33245,4.4025,43062.822915302,0
AMB,D,20050624,000000,4.35745,4.37741,4.30726,4.37741,5691.770833153,0
AMB,D,20050627,000000,4.35745,4.4025,4.35745,4.4025,41231.145832027,0
AMB,D,20050628,000000,4.4524,4.4524,4.4524,4.4524,27498.302082462,0
AMB,D,20050629,000000,4.4774,4.5024,4.4774,4.4774,9126.8229163775,0
AMB,D,20050630,000000,4.4275,4.52759,4.4275,4.4524,12251.510416278,0
AMB,D,20050701,000000,4.4524,4.59764,4.4524,4.59764,17156.322916123,0
AMB,D,20050704,000000,4.57758,4.59764,4.57758,4.59764,9748.6041663578,0
AMB,D,20050705,000000,4.59764,4.72263,4.59764,4.67254,104851.67708001,0
AMB,D,20050706,000000,4.64745,4.69754,4.64745,4.67254,70523.249997766,0
AMB,D,20050707,000000,4.59764,4.67254,4.59764,4.67254,23376.239582593,0
AMB,D,20050708,000000,4.67254,4.69754,4.67254,4.67254,93132.520830383,0
AMB,D,20050711,000000,4.59764,4.59764,4.59764,4.59764,6880.624999782,0
AMB,D,20050712,000000,4.59764,4.64745,4.59764,4.59764,8604.9895830607,0
AMB,D,20050713,000000,4.64745,4.64745,4.59764,4.62254,6679.6770831217,0
AMB,D,20050714,000000,4.64745,4.64745,4.62254,4.64745,59067.114581462,0
AMB,D,20050715,000000,4.64745,4.67254,4.64745,4.67254,10734.40624966,0
AMB,D,20050718,000000,4.67254,4.67254,4.62254,4.67254,75901.499997595,0
AMB,D,20050719,000000,4.62254,4.67254,4.59764,4.64745,11693.906249629,0
AMB,D,20050720,000000,4.67254,4.69754,4.64745,4.67254,16482.989582811,0
AMB,D,20050721,000000,4.67254,4.72263,4.59764,4.72263,155270.66666175,0
AMB,D,20050722,000000,4.72263,4.74763,4.67254,4.67254,25470.937499193,0
AMB,D,20050725,000000,4.69754,4.69754,4.69754,4.69754,7165.7395831063,0
AMB,D,20050726,000000,4.69754,4.69754,4.67254,4.67254,75095.604164287,0
AMB,D,20050727,000000,4.67254,4.74763,4.67254,4.74763,111272.54166314,0
AMB,D,20050728,000000,4.69754,4.69754,4.67254,4.67254,26443.062499162,0
AMB,D,20050729,000000,4.72263,4.72263,4.69754,4.69754,538.6666666496,0
AMB,D,20050801,000000,4.72263,4.72263,4.62254,4.67254,3825.3749998788,0
AMB,D,20050802,000000,4.64745,4.69754,4.64745,4.69754,1123.6249999644,0
AMB,D,20050803,000000,4.69754,4.72263,4.62254,4.72263,2685.9687499149,0
AMB,D,20050804,000000,4.62254,4.69754,4.62254,4.69754,864.8124999726,0
AMB,D,20050805,000000,4.67254,4.72263,4.67254,4.72263,21471.96874932,0
AMB,D,20050808,000000,4.72263,4.72263,4.67254,4.72263,2418.7395832567,0
AMB,D,20050809,000000,4.67254,4.67254,4.67254,4.67254,1719.1041666122,0
AMB,D,20050810,000000,4.67254,4.67254,4.67254,4.67254,1817.9999999424,0
AMB,D,20050811,000000,4.67254,4.67254,4.67254,4.67254,8577.6354163949,0
AMB,D,20050812,000000,4.67254,4.67254,4.67254,4.67254,68133.968747841,0
AMB,D,20050816,000000,4.67254,4.69754,4.67254,4.69754,8331.4479164027,0
AMB,D,20050817,000000,4.69754,4.81758,4.69754,4.81758,151303.26041187,0
AMB,D,20050818,000000,4.84268,5.06272,4.84268,4.89277,101433.45833012,0
AMB,D,20050819,000000,4.99267,5.03781,4.91767,5.01785,14381.979166211,0
AMB,D,20050822,000000,5.01785,5.48293,5.01785,5.48293,147073.88541201,0
AMB,D,20050823,000000,5.48293,5.48293,5.23789,5.25795,35202.708332218,0
AMB,D,20050824,000000,5.1878,5.25795,5.1628,5.1878,24458.833332558,0
AMB,D,20050825,000000,5.1628,5.25795,5.13781,5.2128,11327.781249641,0
AMB,D,20050826,000000,5.13781,5.23789,5.13781,5.1628,7811.7187497525,0
AMB,D,20050829,000000,4.94286,5.1878,4.94286,5.13781,32393.645832307,0
AMB,D,20050830,000000,5.1628,5.2128,5.13781,5.1878,19631.874999378,0
AMB,D,20050831,000000,5.1878,5.2128,5.13781,5.13781,68259.166664504,0
AMB,D,20050901,000000,5.13781,5.1628,4.96767,5.1628,94108.854163685,0
AMB,D,20050902,000000,5.06272,5.1628,5.03781,5.03781,24408.33333256,0
AMB,D,20050905,000000,5.03781,5.23789,5.03781,5.1878,122487.74999612,0
AMB,D,20050906,000000,5.1878,5.1878,5.01785,5.01785,72849.406247692,0
AMB,D,20050907,000000,5.13781,5.1878,4.96767,5.1628,47828.760415151,0
AMB,D,20050908,000000,5.1878,5.23789,5.13781,5.13781,29463.593749066,0
AMB,D,20050909,000000,5.13781,5.1878,5.11281,5.11281,6509.2395831271,0
AMB,D,20050912,000000,5.13781,5.23789,5.06272,5.1878,6026.3333331424,0
AMB,D,20050913,000000,5.1878,5.1878,5.13781,5.1628,11036.354166317,0
AMB,D,20050914,000000,5.13781,5.1878,5.13781,5.1878,3515.0104165553,0
AMB,D,20050915,000000,5.06272,5.1878,5.06272,5.1878,15606.604166172,0
AMB,D,20050916,000000,5.1878,5.1878,5.1628,5.1878,4518.6979165235,0
AMB,D,20050919,000000,5.13781,5.28295,5.13781,5.28295,103440.83333006,0
AMB,D,20050920,000000,5.25795,5.25795,5.23789,5.23789,2880.6041665754,0
AMB,D,20050921,000000,5.13781,5.2128,5.13781,5.2128,4324.062499863,0
AMB,D,20050922,000000,5.13781,5.1878,5.13781,5.1878,4230.4270831993,0
AMB,D,20050923,000000,5.13781,5.1878,5.03781,5.13781,277678.45832454,0
