<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM,D,20040302,000000,18.2448,18.5055,17.6226,17.6749,182971.4452535685,0
BCM,D,20040303,000000,17.7253,17.7786,17.1554,17.2572,32732.1459850605,0
BCM,D,20040304,000000,16.9499,17.1554,16.5323,16.9499,29852.145985090498,0
BCM,D,20040305,000000,16.6883,17.3124,16.5789,16.636,16834.335766247998,0
BCM,D,20040308,000000,16.3744,16.5323,16.1146,16.1679,19992.8759122005,0
BCM,D,20040309,000000,15.852,15.9567,15.5933,15.5933,19013.2554742545,0
BCM,D,20040310,000000,15.5933,16.1146,15.5933,16.1146,6009.1094889885,0
BCM,D,20040311,000000,16.0109,16.0109,15.5933,16.0109,11375.9999998815,0
BCM,D,20040312,000000,15.852,16.1146,15.7512,15.9567,16232.0583939915,0
BCM,D,20040315,000000,15.9082,15.9082,15.7017,15.852,4621.6642335285,0
BCM,D,20040316,000000,15.7017,15.852,15.4896,15.852,2425.927007274,0
BCM,D,20040317,000000,15.852,15.852,15.5447,15.5933,44527.532846251495,0
BCM,D,20040318,000000,15.5933,15.5933,15.2298,15.3326,10803.153284558999,0
BCM,D,20040319,000000,15.5933,15.8045,14.6609,15.0776,810391.0072908285,0
BCM,D,20040322,000000,15.0243,15.1813,14.8664,14.9692,6013.3138685505,0
BCM,D,20040323,000000,14.9692,15.8045,14.8664,15.5447,26840.759123808,0
BCM,D,20040324,000000,15.3868,15.3868,15.1261,15.2298,7169.5182481004995,0
BCM,D,20040325,000000,15.1813,15.1813,15.0243,15.0776,15889.401459688499,0
BCM,D,20040326,000000,15.0776,15.0776,14.8179,14.8179,23796.788320919997,0
BCM,D,20040329,000000,14.8664,15.0776,14.8179,14.8664,17282.102189601,0
BCM,D,20040330,000000,15.2298,15.2298,14.7627,14.7627,24341.255474199,0
BCM,D,20040331,000000,14.7627,14.8179,14.7075,14.7627,8792.4087590325,0
BCM,D,20040401,000000,14.8179,14.8179,14.7627,14.8179,2611.9708028924997,0
BCM,D,20040402,000000,14.9206,15.0243,14.7627,14.9206,7886.3649634215,0
BCM,D,20040405,000000,14.8179,14.8179,14.4545,14.5572,30704.583941285997,0
BCM,D,20040406,000000,14.5572,14.5572,14.2965,14.2965,6100.554744462,0
BCM,D,20040407,000000,14.2965,14.2965,14.1386,14.1947,3656.7591240495,0
BCM,D,20040408,000000,14.4002,14.8179,14.345,14.7627,22291.620437724,0
BCM,D,20040413,000000,14.9692,14.9692,14.8179,14.9692,11696.583941484,0
BCM,D,20040414,000000,15.0776,15.1813,14.9206,14.9206,20701.313868397498,0
BCM,D,20040415,000000,14.9206,14.9206,14.7075,14.9206,1183.532846703,0
BCM,D,20040416,000000,14.7075,14.9206,14.5572,14.8664,8370.919707942,0
BCM,D,20040419,000000,14.5572,14.5572,14.2965,14.2965,11765.956204257,0
BCM,D,20040420,000000,14.2965,14.2965,13.7761,13.8246,15163.094890352999,0
BCM,D,20040421,000000,13.7761,14.2965,13.7761,14.1947,9626.978102089499,0
BCM,D,20040422,000000,13.9321,14.1386,13.9321,14.1386,1000.642335756,0
