<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS,D,19960520,000000,0.204089,0.204089,0.204089,0.204089,15402205.155945,0
BRS,D,19960521,000000,0.187291,0.187291,0.187291,0.187291,15208646.963348,0
BRS,D,19960522,000000,0.178892,0.178892,0.178892,0.178892,8364157.1853969,0
BRS,D,19960523,000000,0.167972,0.167972,0.167972,0.167972,7773573.0816783,0
BRS,D,19960524,000000,0.165452,0.165452,0.165452,0.165452,8033167.0816849,0
BRS,D,19960527,000000,0.167135,0.167135,0.167135,0.167135,5748041.1705159,0
BRS,D,19960528,000000,0.162094,0.162094,0.162094,0.162094,7246990.6816649,0
BRS,D,19960529,000000,0.162094,0.162094,0.162094,0.162094,6167738.3260821,0
BRS,D,19960530,000000,0.159573,0.159573,0.159573,0.159573,3878262.1482463,0
BRS,D,19960531,000000,0.165452,0.165452,0.165452,0.165452,5251677.7334663,0
BRS,D,19960603,000000,0.176372,0.176372,0.176372,0.176372,3384292.1186042,0
BRS,D,19960604,000000,0.187291,0.187291,0.187291,0.187291,5108731.0371664,0
BRS,D,19960605,000000,0.18225,0.18225,0.18225,0.18225,13869330.11887,0
BRS,D,19960607,000000,0.18225,0.18225,0.18225,0.18225,13080398.666998,0
BRS,D,19960610,000000,0.191495,0.191495,0.191495,0.191495,7843521.4372356,0
BRS,D,19960611,000000,0.190649,0.190649,0.190649,0.190649,7524320.4742646,0
BRS,D,19960612,000000,0.19317,0.19317,0.19317,0.19317,6097753.6890433,0
BRS,D,19960613,000000,0.185616,0.185616,0.185616,0.185616,2389177.6889494,0
BRS,D,19960614,000000,0.180575,0.180575,0.180575,0.180575,4303874.3556645,0
BRS,D,19960617,000000,0.18225,0.18225,0.18225,0.18225,2982118.918594,0
BRS,D,19960618,000000,0.178892,0.178892,0.178892,0.178892,3552819.6000899,0
BRS,D,19960619,000000,0.176372,0.176372,0.176372,0.176372,3670659.511204,0
BRS,D,19960620,000000,0.174697,0.174697,0.174697,0.174697,2980087.155631,0
BRS,D,19960621,000000,0.176372,0.176372,0.176372,0.176372,1859403.688936,0
BRS,D,19960624,000000,0.178055,0.178055,0.178055,0.178055,1144704.1481771,0
BRS,D,19960625,000000,0.178055,0.178055,0.178055,0.178055,3515629.9112001,0
BRS,D,19960626,000000,0.178892,0.178892,0.178892,0.178892,2958354.548223,0
BRS,D,19960627,000000,0.18225,0.18225,0.18225,0.18225,5873716.7112598,0
BRS,D,19960628,000000,0.183096,0.183096,0.183096,0.183096,2018713.3333844,0
BRS,D,19960701,000000,0.185616,0.185616,0.185616,0.185616,1601772.4000406,0
BRS,D,19960702,000000,0.184771,0.184771,0.184771,0.184771,3944983.7926925,0
BRS,D,19960703,000000,0.184771,0.184771,0.184771,0.184771,3154271.0371169,0
BRS,D,19960704,000000,0.183096,0.183096,0.183096,0.183096,2479698.8148776,0
