<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE,D,20050210,000000,17.1046,17.3344,16.176,16.2368,2418794.4324014853,0
CIE,D,20050211,000000,16.4115,16.4115,16.1219,16.3507,254365.89941794923,0
CIE,D,20050214,000000,16.2899,16.5785,16.2368,16.4656,184230.0028682484,0
CIE,D,20050215,000000,16.5264,16.5785,16.4656,16.5264,63616.85488322221,0
CIE,D,20050216,000000,16.5264,16.7542,16.4656,16.7011,301230.8994165972,0
CIE,D,20050217,000000,16.7011,16.7011,16.4656,16.6403,139936.1551683768,0
CIE,D,20050218,000000,16.5264,16.6403,16.2899,16.6403,118311.33476670181,0
CIE,D,20050221,000000,16.3507,16.7542,16.176,16.6403,213028.56608580842,0
CIE,D,20050222,000000,16.5785,16.87,16.4115,16.815,159468.41809884782,0
CIE,D,20050223,000000,16.6403,17.2195,16.6403,17.2195,216595.23706271703,0
CIE,D,20050224,000000,17.2726,18.0275,17.2726,17.9666,601615.4525688511,0
CIE,D,20050225,000000,18.2022,18.3711,17.9126,18.0883,426217.69970034785,0
CIE,D,20050228,000000,18.2562,18.3711,17.9126,17.9126,168661.16809858262,0
CIE,D,20050301,000000,17.623,17.9666,17.5091,17.9126,80171.8850551584,0
CIE,D,20050302,000000,17.9126,17.9666,17.7987,17.9126,338500.17671437265,0
CIE,D,20050303,000000,17.8518,18.0883,17.8518,17.9126,51494.524423801806,0
CIE,D,20050304,000000,17.9126,17.9126,17.4483,17.623,36156.6997116006,0
CIE,D,20050307,000000,17.5091,17.677,17.1046,17.4483,64196.96982573421,0
CIE,D,20050308,000000,17.3344,17.4483,17.1046,17.4483,88597.01867560501,0
CIE,D,20050309,000000,17.4483,17.4483,17.2195,17.2726,65222.530170532205,0
CIE,D,20050310,000000,17.2726,17.2726,16.87,17.0438,99974.5229856216,0
CIE,D,20050311,000000,17.1046,17.1046,16.7011,16.87,91969.9726984962,0
CIE,D,20050314,000000,16.87,16.9839,16.6403,16.815,38369.42384946781,0
CIE,D,20050315,000000,16.7542,16.9289,16.5785,16.9289,19884.475574139004,0
CIE,D,20050316,000000,16.87,17.1596,16.7011,16.9289,69602.3979864978,0
CIE,D,20050317,000000,16.7542,16.87,16.6403,16.7542,33304.813217430004,0
CIE,D,20050318,000000,16.7542,16.87,16.7542,16.7542,52891.9798835316,0
CIE,D,20050321,000000,16.7542,16.9289,16.7542,16.7542,30827.929596811802,0
CIE,D,20050322,000000,16.7542,16.7542,16.5785,16.6403,54722.449711065005,0
CIE,D,20050323,000000,16.5785,16.6403,16.4656,16.5264,88882.93246870021,0
CIE,D,20050324,000000,16.4656,16.5264,16.3507,16.5264,177755.5057419984,0
CIE,D,20050329,000000,16.4656,16.4656,16.2368,16.3507,5649.9051722508,0
CIE,D,20050330,000000,16.3507,16.7011,16.3507,16.7011,10348.836206598002,0
CIE,D,20050331,000000,16.7542,16.7542,16.5785,16.6403,14096.793103041602,0
CIE,D,20050401,000000,16.5264,16.6403,16.4115,16.6403,83849.3994228684,0
CIE,D,20050404,000000,16.6403,16.6403,16.4656,16.4656,96578.77873284601,0
CIE,D,20050405,000000,16.4115,16.7011,16.4115,16.7011,6542.867815903201,0
CIE,D,20050406,000000,16.7011,16.815,16.5264,16.815,5761.7844825924,0
CIE,D,20050407,000000,16.7542,16.87,16.5264,16.7542,6358.4741377476,0
CIE,D,20050411,000000,16.4656,16.7542,16.4656,16.6403,7711.385057248801,0
CIE,D,20050412,000000,16.7542,16.7542,16.4656,16.4656,16876.1652293982,0
CIE,D,20050413,000000,16.4115,16.7542,16.4115,16.5785,13595.408045584802,0
CIE,D,20050414,000000,16.4656,16.7542,16.4656,16.7542,17064.7025857146,0
CIE,D,20050415,000000,16.5785,16.815,16.5264,16.7542,14907.9181030182,0
CIE,D,20050418,000000,16.4656,16.7011,16.176,16.7011,38803.4741368116,0
CIE,D,20050419,000000,16.4656,16.4656,16.2368,16.2899,2508.9971263644,0
CIE,D,20050420,000000,16.2899,16.4656,15.9472,16.1219,19464.928160358002,0
CIE,D,20050421,000000,16.176,16.176,15.5977,15.5977,6865.0387929054,0
CIE,D,20050422,000000,15.6576,15.6576,15.0784,15.3149,9304.629310076401,0
CIE,D,20050425,000000,15.0243,15.0243,14.3863,14.6218,67066.4669520882,0
CIE,D,20050426,000000,14.6749,14.7347,14.1565,14.3863,15903.436781150402,0
CIE,D,20050427,000000,14.4461,14.4461,13.8061,13.8061,37573.837642594204,0
CIE,D,20050428,000000,13.753,13.8669,13.1728,13.8669,45684.051722820004,0
CIE,D,20050429,000000,13.8669,14.561,13.753,14.4461,41640.857757419406,0
CIE,D,20050502,000000,14.7347,14.8496,14.6218,14.8496,4689.6077584854,0
CIE,D,20050504,000000,14.9645,14.9645,14.6218,14.7347,8713.1192526222,0
CIE,D,20050505,000000,14.561,14.6749,14.2115,14.6218,8459.318965273202,0
CIE,D,20050506,000000,14.2714,14.561,14.2714,14.4461,6977.9540227872,0
CIE,D,20050509,000000,14.6218,14.6218,14.4461,14.561,22271.234194759803,0
CIE,D,20050510,000000,14.6749,14.6749,14.3863,14.4461,15304.675286914802,0
CIE,D,20050511,000000,14.3322,14.4461,14.3322,14.4461,12034.2772985034,0
CIE,D,20050512,000000,14.3863,14.5002,14.3322,14.4461,10062.922413502802,0
CIE,D,20050513,000000,14.3863,14.4461,14.2714,14.4461,5373.314655017401,0
CIE,D,20050516,000000,14.4461,14.561,14.1565,14.3863,14762.889367390202,0
CIE,D,20050517,000000,14.3863,14.5002,14.3863,14.5002,17302.964079960602,0
CIE,D,20050518,000000,14.3863,14.4461,14.3322,14.4461,6061.165229710201,0
CIE,D,20050519,000000,14.4461,14.561,14.1565,14.561,8522.510057225401,0
CIE,D,20050520,000000,14.5002,14.561,14.4461,14.5002,37554.15517133041,0
CIE,D,20050523,000000,14.4461,14.5002,14.3322,14.4461,14058.464080054202,0
CIE,D,20050524,000000,14.4461,14.6749,14.4461,14.4461,18083.011493731203,0
CIE,D,20050525,000000,14.5002,14.9037,14.5002,14.7347,41860.472699941805,0
CIE,D,20050527,000000,14.8496,14.9645,14.6218,14.7347,6788.3807469306,0
CIE,D,20050530,000000,14.4461,14.6749,14.4461,14.5002,6408.1982756772,0
CIE,D,20050531,000000,14.6218,15.0784,14.6218,15.0243,19457.676723576602,0
CIE,D,20050601,000000,15.0784,15.4829,15.0243,15.3149,197553.99999430083,0
