<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,D,19941124,000000,5.80742,5.80742,5.80742,5.80742,172939.5833388674,0
DBC,D,19941125,000000,5.80742,5.80742,5.80742,5.80742,351863.5416779263,0
DBC,D,19941128,000000,6.38141,6.38141,6.38141,6.38141,0,0
DBC,D,19941129,000000,6.99667,6.99667,6.99667,6.99667,251464.58334138023,0
DBC,D,19941130,000000,7.65811,7.65811,7.65811,7.65811,241181.2500077178,0
DBC,D,19941201,000000,8.40394,8.40394,8.40394,8.40394,151176.04167150432,0
DBC,D,19941202,000000,8.53834,8.53834,8.53834,8.53834,319617.7083435611,0
DBC,D,19941205,000000,7.92269,7.92269,7.92269,7.92269,249778.12500799293,0
DBC,D,19941206,000000,8.13907,8.13907,8.13907,8.13907,221385.41667375102,0
DBC,D,19941207,000000,7.7881,7.7881,7.7881,7.7881,273704.1666754252,0
DBC,D,19941208,000000,7.04323,7.04323,7.04323,7.04323,616111.4583530489,0
DBC,D,19941209,000000,7.26019,7.26019,7.26019,7.26019,126348.9583373765,0
DBC,D,19941212,000000,7.96483,7.96483,7.96483,7.96483,212501.0416734667,0
DBC,D,19941213,000000,7.69958,7.69958,7.69958,7.69958,142743.75000456782,0
DBC,D,19941214,000000,7.30752,7.30752,7.30752,7.30752,67247.91666881861,0
DBC,D,19941215,000000,7.39565,7.39565,7.39565,7.39565,61436.45833529931,0
DBC,D,19941216,000000,7.87632,7.87632,7.87632,7.87632,83645.83333601001,0
DBC,D,19941219,000000,7.87632,7.87632,7.87632,7.87632,84863.5416693823,0
DBC,D,19941220,000000,7.57104,7.57104,7.57104,7.57104,46695.83333482761,0
DBC,D,19941221,000000,7.65811,7.65811,7.65811,7.65811,31268.7500010006,0
DBC,D,19941222,000000,7.69958,7.69958,7.69958,7.69958,48369.7916682145,0
DBC,D,19941223,000000,7.83427,7.83427,7.83427,7.83427,53584.3750017147,0
DBC,D,19941227,000000,7.83427,7.83427,7.83427,7.83427,61648.9583353061,0
DBC,D,19941228,000000,7.5241,7.5241,7.5241,7.5241,33954.166667753205,0
DBC,D,19941229,000000,7.69958,7.69958,7.69958,7.69958,47016.6666681712,0
DBC,D,19950102,000000,8.13907,8.13907,8.13907,8.13907,100419.79166988011,0
DBC,D,19950103,000000,8.36208,8.36208,8.36208,8.36208,142269.7916712193,0
DBC,D,19950104,000000,8.13907,8.13907,8.13907,8.13907,61050.0000019536,0
DBC,D,19950105,000000,8.13907,8.13907,8.13907,8.13907,49011.458334901705,0
DBC,D,19950106,000000,7.74739,7.74739,7.74739,7.74739,78500.00000251201,0
DBC,D,19950109,000000,7.92269,7.92269,7.92269,7.92269,51069.7916683009,0
DBC,D,19950110,000000,7.92269,7.92269,7.92269,7.92269,70881.2500022682,0
DBC,D,19950111,000000,7.87632,7.87632,7.87632,7.87632,86455.20833609991,0
DBC,D,19950112,000000,7.65811,7.65811,7.65811,7.65811,52762.5000016884,0
DBC,D,19950113,000000,7.92269,7.92269,7.92269,7.92269,47847.9166681978,0
DBC,D,19950116,000000,8.09952,8.09952,8.09952,8.09952,138138.54167108712,0
DBC,D,19950117,000000,7.92269,7.92269,7.92269,7.92269,86228.1250027593,0
DBC,D,19950118,000000,7.87632,7.87632,7.87632,7.87632,93118.75000297981,0
DBC,D,19950119,000000,7.87632,7.87632,7.87632,7.87632,18851.041667269903,0
DBC,D,19950120,000000,7.7881,7.7881,7.7881,7.7881,44680.208334763105,0
DBC,D,19950123,000000,7.5241,7.5241,7.5241,7.5241,86710.4166694414,0
DBC,D,19950124,000000,7.4833,7.4833,7.4833,7.4833,131136.4583375297,0
DBC,D,19950125,000000,7.4833,7.4833,7.4833,7.4833,39433.333334595205,0
DBC,D,19950126,000000,7.21987,7.21987,7.21987,7.21987,75658.3333357544,0
DBC,D,19950127,000000,6.86256,6.86256,6.86256,6.86256,27095.8333342004,0
DBC,D,19950130,000000,6.86256,6.86256,6.86256,6.86256,50255.208334941504,0
DBC,D,19950131,000000,6.5568,6.5568,6.5568,6.5568,48117.7083348731,0
DBC,D,19950201,000000,7.04323,7.04323,7.04323,7.04323,73856.2500023634,0
DBC,D,19950202,000000,6.86256,6.86256,6.86256,6.86256,79975.0000025592,0
DBC,D,19950203,000000,6.59875,6.59875,6.59875,6.59875,115442.7083370275,0
DBC,D,19950206,000000,7.0848,7.0848,7.0848,7.0848,17714.583333900202,0
DBC,D,19950207,000000,7.4833,7.4833,7.4833,7.4833,85553.12500273771,0
DBC,D,19950208,000000,7.4833,7.4833,7.4833,7.4833,184871.8750059159,0
DBC,D,19950209,000000,7.5241,7.5241,7.5241,7.5241,82658.3333359784,0
DBC,D,19950210,000000,7.4833,7.4833,7.4833,7.4833,125855.20833736072,0
DBC,D,19950213,000000,7.26019,7.26019,7.26019,7.26019,27340.6250008749,0
DBC,D,19950214,000000,7.4833,7.4833,7.4833,7.4833,64963.54166874551,0
DBC,D,19950215,000000,7.4833,7.4833,7.4833,7.4833,58615.625001875705,0
DBC,D,19950216,000000,7.4833,7.4833,7.4833,7.4833,45312.500001450004,0
DBC,D,19950217,000000,7.87632,7.87632,7.87632,7.87632,151015.62500483252,0
DBC,D,19950220,000000,7.83427,7.83427,7.83427,7.83427,162650.0000052048,0
DBC,D,19950221,000000,7.92269,7.92269,7.92269,7.92269,240127.08334101742,0
DBC,D,19950222,000000,7.65811,7.65811,7.65811,7.65811,164687.50000527,0
DBC,D,19950223,000000,7.92269,7.92269,7.92269,7.92269,158126.0416717267,0
DBC,D,19950224,000000,8.36208,8.36208,8.36208,8.36208,191484.37500612752,0
DBC,D,19950227,000000,7.87632,7.87632,7.87632,7.87632,91785.4166696038,0
DBC,D,19950228,000000,7.74739,7.74739,7.74739,7.74739,28727.083334252602,0
DBC,D,19950301,000000,7.74739,7.74739,7.74739,7.74739,20592.7083339923,0
DBC,D,19950302,000000,7.92269,7.92269,7.92269,7.92269,44185.4166680806,0
DBC,D,19950303,000000,8.13907,8.13907,8.13907,8.13907,83654.16666934361,0
DBC,D,19950306,000000,8.13907,8.13907,8.13907,8.13907,28743.7500009198,0
DBC,D,19950307,000000,8.13907,8.13907,8.13907,8.13907,56133.3333351296,0
DBC,D,19950308,000000,8.13907,8.13907,8.13907,8.13907,33715.6250010789,0
DBC,D,19950309,000000,8.1863,8.1863,8.1863,8.1863,31516.666667675203,0
DBC,D,19950310,000000,8.13907,8.13907,8.13907,8.13907,96797.9166697642,0
DBC,D,19950313,000000,8.09952,8.09952,8.09952,8.09952,137713.5416710735,0
DBC,D,19950314,000000,8.13907,8.13907,8.13907,8.13907,60865.6250019477,0
DBC,D,19950315,000000,8.13907,8.13907,8.13907,8.13907,62154.166668655605,0
DBC,D,19950316,000000,8.05238,8.05238,8.05238,8.05238,14962.500000478802,0
DBC,D,19950317,000000,8.05238,8.05238,8.05238,8.05238,27813.541667556703,0
DBC,D,19950320,000000,8.05238,8.05238,8.05238,8.05238,23779.166667427602,0
DBC,D,19950321,000000,8.13907,8.13907,8.13907,8.13907,66700.0000021344,0
DBC,D,19950322,000000,8.05238,8.05238,8.05238,8.05238,31106.250000995402,0
DBC,D,19950323,000000,8.05238,8.05238,8.05238,8.05238,67739.58333550101,0
DBC,D,19950324,000000,8.05238,8.05238,8.05238,8.05238,34706.2500011106,0
DBC,D,19950327,000000,8.1863,8.1863,8.1863,8.1863,61883.333335313604,0
DBC,D,19950328,000000,8.13907,8.13907,8.13907,8.13907,55093.750001763,0
DBC,D,19950329,000000,8.13907,8.13907,8.13907,8.13907,40720.8333346364,0
DBC,D,19950330,000000,8.22758,8.22758,8.22758,8.22758,41137.5000013164,0
DBC,D,19950331,000000,8.27462,8.27462,8.27462,8.27462,42789.583334702605,0
DBC,D,19950403,000000,8.27462,8.27462,8.27462,8.27462,32994.7916677225,0
DBC,D,19950404,000000,8.45021,8.45021,8.45021,8.45021,99480.2083365167,0
DBC,D,19950405,000000,8.57923,8.57923,8.57923,8.57923,58035.4166685238,0
DBC,D,19950406,000000,9.4176,9.4176,9.4176,9.4176,133056.2500042578,0
DBC,D,19950407,000000,10.3421,10.3421,10.3421,10.3421,186536.4583393025,0
DBC,D,19950410,000000,11.352,11.352,11.352,11.352,292692.7083426995,0
DBC,D,19950411,000000,11.7955,11.7955,11.7955,11.7955,229029.1666739956,0
DBC,D,19950412,000000,11.6621,11.6621,11.6621,11.6621,270127.08334197744,0
DBC,D,19950413,000000,11.5267,11.5267,11.5267,11.5267,334716.66667737765,0
DBC,D,19950414,000000,12.4531,12.4531,12.4531,12.4531,167504.16667202683,0
DBC,D,19950418,000000,13.6838,13.6838,13.6838,13.6838,90495.8333362292,0
DBC,D,19950419,000000,15.049,15.049,15.049,15.049,193426.0416728563,0
DBC,D,19950420,000000,15.3984,15.3984,15.3984,15.3984,216048.95834024693,0
DBC,D,19950421,000000,13.8586,13.8586,13.8586,13.8586,209897.9166733834,0
DBC,D,19950424,000000,15.2246,15.2246,15.2246,15.2246,160881.2500051482,0
DBC,D,19950425,000000,14.52,14.52,14.52,14.52,158144.79167172732,0
DBC,D,19950426,000000,13.0675,13.0675,13.0675,13.0675,205251.04167323472,0
DBC,D,19950427,000000,13.6838,13.6838,13.6838,13.6838,222062.50000710602,0
DBC,D,19950428,000000,13.2019,13.2019,13.2019,13.2019,137600.0000044032,0
DBC,D,19950504,000000,13.2019,13.2019,13.2019,13.2019,139832.2916711413,0
DBC,D,19950505,000000,13.2019,13.2019,13.2019,13.2019,94988.5416697063,0
DBC,D,19950509,000000,13.2019,13.2019,13.2019,13.2019,78473.95833584451,0
DBC,D,19950510,000000,13.4659,13.4659,13.4659,13.4659,70585.4166689254,0
DBC,D,19950511,000000,14.303,14.303,14.303,14.303,210708.333340076,0
DBC,D,19950512,000000,14.52,14.52,14.52,14.52,169056.25000540982,0
DBC,D,19950515,000000,14.52,14.52,14.52,14.52,149227.0833381086,0
DBC,D,19950516,000000,14.1696,14.1696,14.1696,14.1696,100356.2500032114,0
DBC,D,19950517,000000,13.2019,13.2019,13.2019,13.2019,60334.375001930704,0
DBC,D,19950518,000000,12.3216,12.3216,12.3216,12.3216,89923.95833621091,0
DBC,D,19950519,000000,12.7613,12.7613,12.7613,12.7613,103321.87500330631,0
DBC,D,19950522,000000,12.3216,12.3216,12.3216,12.3216,94269.79166968331,0
DBC,D,19950523,000000,12.3216,12.3216,12.3216,12.3216,153637.50000491642,0
DBC,D,19950524,000000,13.2019,13.2019,13.2019,13.2019,47305.208334847106,0
DBC,D,19950525,000000,14.303,14.303,14.303,14.303,174001.0416722347,0
DBC,D,19950526,000000,13.7722,13.7722,13.7722,13.7722,160706.25000514262,0
DBC,D,19950529,000000,14.4326,14.4326,14.4326,14.4326,210205.2083400599,0
DBC,D,19950530,000000,13.2019,13.2019,13.2019,13.2019,94494.7916696905,0
DBC,D,19950531,000000,13.8173,13.8173,13.8173,13.8173,93467.7083363243,0
DBC,D,19950601,000000,13.2019,13.2019,13.2019,13.2019,178350.0000057072,0
DBC,D,19950602,000000,13.9949,13.9949,13.9949,13.9949,89181.2500028538,0
DBC,D,19950605,000000,14.303,14.303,14.303,14.303,135406.250004333,0
DBC,D,19950606,000000,14.4797,14.4797,14.4797,14.4797,101746.8750032559,0
DBC,D,19950607,000000,14.52,14.52,14.52,14.52,326686.45834378735,0
DBC,D,19950608,000000,14.9597,14.9597,14.9597,14.9597,245694.7916745289,0
DBC,D,19950609,000000,14.9597,14.9597,14.9597,14.9597,105803.1250033857,0
DBC,D,19950612,000000,14.9597,14.9597,14.9597,14.9597,105335.4166700374,0
DBC,D,19950613,000000,14.9597,14.9597,14.9597,14.9597,200546.8750064175,0
DBC,D,19950614,000000,14.4326,14.4326,14.4326,14.4326,130387.50000417241,0
DBC,D,19950616,000000,13.6838,13.6838,13.6838,13.6838,82421.8750026375,0
DBC,D,19950619,000000,13.6838,13.6838,13.6838,13.6838,69635.416668895,0
DBC,D,19950620,000000,13.6838,13.6838,13.6838,13.6838,87832.2916694773,0
DBC,D,19950621,000000,14.0803,14.0803,14.0803,14.0803,87345.8333361284,0
DBC,D,19950622,000000,13.8586,13.8586,13.8586,13.8586,33579.1666677412,0
DBC,D,19950623,000000,14.0803,14.0803,14.0803,14.0803,40869.7916679745,0
DBC,D,19950626,000000,14.7427,14.7427,14.7427,14.7427,69259.3750022163,0
DBC,D,19950627,000000,14.783,14.783,14.783,14.783,73044.7916690041,0
DBC,D,19950628,000000,14.52,14.52,14.52,14.52,80676.04166924831,0
DBC,D,19950629,000000,14.568,14.568,14.568,14.568,42837.500001370805,0
DBC,D,19950630,000000,14.52,14.52,14.52,14.52,56294.791668468104,0
DBC,D,19950703,000000,14.52,14.52,14.52,14.52,112312.500003594,0
DBC,D,19950704,000000,13.6416,13.6416,13.6416,13.6416,66230.2083354527,0
