<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO,D,20100414,000000,7.08132,7.29604,6.73274,6.74302,234111.6,0
FRO,D,20100415,000000,6.92594,6.95811,6.74302,6.74302,100356.56,0
FRO,D,20100416,000000,6.91019,6.91019,6.65264,6.83953,394.32,0
FRO,D,20100419,000000,6.65264,6.65264,6.23934,6.64708,634.94,0
FRO,D,20100420,000000,6.86708,6.89368,6.50208,6.81368,265956.12,0
FRO,D,20100421,000000,6.50208,6.81368,6.50208,6.81368,395.38,0
FRO,D,20100422,000000,6.75396,6.75962,6.75396,6.75396,1123.6,0
FRO,D,20100423,000000,6.49142,6.68009,6.49142,6.52321,2535.52,0
FRO,D,20100426,000000,6.75962,6.89368,6.55538,6.75962,2891.68,0
FRO,D,20100427,000000,6.65264,6.65264,6.56094,6.56094,932.8,0
FRO,D,20100428,000000,6.49142,6.49142,6.43774,6.49142,952.94,0
FRO,D,20100429,000000,6.8183,6.89368,6.54509,6.54509,805.6,0
FRO,D,20100430,000000,6.44274,6.83953,6.43774,6.83953,1186.14,0
FRO,D,20100505,000000,6.65264,6.65264,6.38425,6.38425,249449.8,0
FRO,D,20100507,000000,6.33632,6.38425,6.33009,6.33009,33359.26,0
FRO,D,20100510,000000,6.43774,6.43774,6.43774,6.43774,390.08,0
FRO,D,20100511,000000,6.44274,6.44274,6.24991,6.24991,20405,0
FRO,D,20100512,000000,6.49142,6.49142,6.43774,6.43774,887.22,0
FRO,D,20100513,000000,6.46991,6.46991,6.46991,6.46991,1889.98,0
FRO,D,20100514,000000,6.43774,6.59915,6.43774,6.59915,3404.72,0
FRO,D,20100517,000000,6.59915,6.59915,6.59915,6.59915,399.62,0
FRO,D,20100518,000000,6.59915,6.59915,6.59915,6.59915,5849.08,0
FRO,D,20100520,000000,6.58755,6.59368,6.17009,6.58755,1933.44,0
FRO,D,20100525,000000,5.97075,6.43774,5.97075,6.41075,608.44,0
FRO,D,20100526,000000,6.17009,6.35708,6.17009,6.35708,2547.18,0
FRO,D,20100527,000000,6.38425,6.43774,6.38425,6.43774,21191.52,0
FRO,D,20100528,000000,6.43774,6.46991,6.27642,6.46991,17022.54,0
FRO,D,20100531,000000,6.35708,6.44849,6.35708,6.44849,1570.92,0
FRO,D,20100601,000000,6.43774,6.43774,6.22349,6.28783,12730.6,0
FRO,D,20100604,000000,6.24991,6.28783,6.23358,6.28783,564.98,0
FRO,D,20100607,000000,6.23358,6.23358,6.23358,6.23358,348.74,0
FRO,D,20100608,000000,6.08934,6.23358,6.08934,6.23358,2156.04,0
FRO,D,20100609,000000,6.22349,6.23358,6.22349,6.23358,128.26,0
FRO,D,20100610,000000,6.11594,6.12642,6.11594,6.12642,77.38,0
FRO,D,20100611,000000,6.28783,6.28783,6.175,6.175,4631.14,0
FRO,D,20100614,000000,6.175,6.175,6.175,6.175,153.7,0
FRO,D,20100615,000000,6.04085,6.04085,6.04085,6.04085,184.44,0
FRO,D,20100616,000000,6.04085,6.17009,6.04085,6.17009,57016.34,0
FRO,D,20100617,000000,6.04085,6.08934,5.90689,5.90689,42828.24,0
FRO,D,20100618,000000,5.91208,5.96038,5.91208,5.96038,1714.02,0
FRO,D,20100621,000000,5.90113,5.90113,5.90113,5.90113,542.72,0
FRO,D,20100623,000000,5.57962,6.00868,5.57962,5.79415,19791.26,0
FRO,D,20100624,000000,5.74009,5.74594,5.74009,5.74594,97.52,0
FRO,D,20100625,000000,6.15868,6.17009,6.15868,6.16425,634.94,0
FRO,D,20100628,000000,6.17009,6.33009,5.95472,6.27642,7453.92,0
FRO,D,20100629,000000,6.34642,6.49142,6.22349,6.22349,4750.92,0
FRO,D,20100630,000000,6.06226,6.30368,6.06226,6.30368,275.6,0
FRO,D,20100701,000000,6.30368,6.30368,6.06226,6.30368,76.32,0
FRO,D,20100702,000000,6.30368,6.30368,6.30368,6.30368,467.46,0
FRO,D,20100705,000000,6.30368,6.43774,6.30368,6.43774,484.42,0
FRO,D,20100706,000000,6.41075,6.52868,6.08934,6.52868,2765.54,0
FRO,D,20100707,000000,6.52868,6.70547,6.38425,6.49689,4460.48,0
FRO,D,20100708,000000,6.70547,6.73274,6.70547,6.73274,797.12,0
FRO,D,20100709,000000,6.73274,6.73274,6.70547,6.70547,915.84,0
FRO,D,20100712,000000,6.75962,6.75962,6.73274,6.73274,7265.24,0
FRO,D,20100713,000000,6.73274,6.94783,6.73274,6.93689,2935.14,0
FRO,D,20100714,000000,6.46491,6.94245,6.46491,6.94245,95080.94,0
FRO,D,20100715,000000,6.92047,6.96368,6.92047,6.96368,38.16,0
FRO,D,20100716,000000,6.86708,6.91019,6.86708,6.91019,159564.98,0
FRO,D,20100719,000000,6.96906,6.96906,6.78623,6.89368,18678.26,0
FRO,D,20100720,000000,6.78623,6.96368,6.78623,6.96368,20364.72,0
FRO,D,20100721,000000,6.96368,6.96368,6.96368,6.96368,19.08,0
FRO,D,20100722,000000,6.95811,6.95811,6.95811,6.95811,15.9,0
FRO,D,20100723,000000,6.92047,6.92047,6.81368,6.81368,1326.06,0
FRO,D,20100726,000000,6.94783,6.94783,6.81368,6.81368,433.54,0
FRO,D,20100727,000000,6.81368,6.81368,6.59915,6.81368,1799.88,0
FRO,D,20100728,000000,6.86151,6.86151,6.5183,6.86151,3189.54,0
FRO,D,20100729,000000,6.83953,6.83953,6.68009,6.68009,833.16,0
FRO,D,20100730,000000,6.58755,6.58755,6.58755,6.58755,1492.48,0
FRO,D,20100802,000000,6.70057,6.70057,6.70057,6.70057,5.3,0
FRO,D,20100803,000000,6.65264,6.70547,6.55066,6.59915,33976.18,0
FRO,D,20100804,000000,6.65264,6.65264,6.65264,6.65264,375.24,0
FRO,D,20100805,000000,6.70057,6.70057,6.44274,6.44274,963.54,0
FRO,D,20100806,000000,6.68472,6.68472,6.68472,6.68472,853.3,0
FRO,D,20100809,000000,6.68953,6.68953,6.44274,6.65264,2640.46,0
FRO,D,20100810,000000,6.83953,6.83953,6.83953,6.83953,184.44,0
FRO,D,20100812,000000,6.55066,6.65264,6.55066,6.65264,1477.64,0
FRO,D,20100813,000000,6.70547,6.75962,6.54509,6.68953,1970.54,0
FRO,D,20100816,000000,6.75962,6.75962,6.68953,6.75396,238.5,0
FRO,D,20100817,000000,6.49142,6.49142,6.49142,6.49142,13.78,0
FRO,D,20100818,000000,6.80745,6.80745,6.43774,6.49142,21211.66,0
FRO,D,20100819,000000,6.43774,6.43774,6.43774,6.43774,16.96,0
FRO,D,20100820,000000,6.38425,6.78142,6.38425,6.78142,100.7,0
FRO,D,20100823,000000,6.44274,6.83953,6.44274,6.78142,12805.86,0
