<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC,D,20040506,000000,7.12946,7.63041,7.12946,7.63041,4455555.627135772,0
GTC,D,20040507,000000,7.8616,8.01567,7.59175,7.8616,1241759.1640222894,0
GTC,D,20040510,000000,7.32974,7.62275,7.32974,7.51481,253948.31190429477,0
GTC,D,20040511,000000,7.43778,7.55328,7.43778,7.49941,218619.45338239436,0
GTC,D,20040512,000000,7.50697,7.59175,7.50697,7.58429,87330.94855552679,0
GTC,D,20040513,000000,7.60725,7.64582,7.55328,7.55328,180045.81994078797,0
GTC,D,20040514,000000,7.50697,7.50697,7.22965,7.4839,304483.1993655324,0
GTC,D,20040517,000000,7.39922,7.54563,7.32209,7.49941,65327.090034003595,0
GTC,D,20040518,000000,7.50697,7.63041,7.50697,7.59175,1389277.8135441502,0
GTC,D,20040519,000000,7.59175,7.66113,7.59175,7.63041,892083.1993821659,0
GTC,D,20040520,000000,7.63041,7.63041,7.4839,7.59175,43309.646303476795,0
GTC,D,20040521,000000,7.55328,7.64582,7.55328,7.63041,272282.0739626916,0
GTC,D,20040524,000000,7.57634,7.63041,7.51481,7.63041,29101.607717865598,0
GTC,D,20040525,000000,7.55328,7.58429,7.47625,7.58429,64338.50482497239,0
GTC,D,20040526,000000,7.55328,7.55328,7.49941,7.55328,92739.95177111399,0
GTC,D,20040527,000000,7.53787,7.63041,7.53022,7.63041,185028.45659687757,0
GTC,D,20040528,000000,7.56113,7.68438,7.55328,7.66888,186339.95177376358,0
GTC,D,20040531,000000,7.63041,7.63041,7.58429,7.5995,18112.218650030398,0
GTC,D,20040601,000000,7.66113,7.69203,7.63041,7.67663,69141.3987157836,0
GTC,D,20040602,000000,7.69203,7.78447,7.68438,7.70744,93351.28617627599,0
GTC,D,20040603,000000,7.70744,7.8616,7.70744,7.8616,129795.17685254879,0
GTC,D,20040604,000000,7.90007,7.97729,7.8616,7.97729,128044.77492323879,0
GTC,D,20040607,000000,7.97729,8.16925,7.97729,8.09299,128745.98071103999,0
GTC,D,20040608,000000,8.13165,8.16925,8.05433,8.13165,56555.22508198679,0
GTC,D,20040609,000000,8.13165,8.20868,8.09299,8.16925,151514.79100107358,0
GTC,D,20040611,000000,8.20868,8.4014,8.20868,8.4014,36081.2700974844,0
GTC,D,20040614,000000,8.36265,8.5548,8.36265,8.5548,526205.3054811335,0
GTC,D,20040615,000000,8.63231,8.67116,8.5548,8.63231,568073.8746141515,0
GTC,D,20040616,000000,8.67116,8.67116,8.47815,8.63231,776081.1897325799,0
GTC,D,20040617,000000,8.63231,8.63231,8.47815,8.5169,284581.91319133557,0
GTC,D,20040618,000000,8.32418,8.59355,8.32418,8.59355,214209.4855366104,0
GTC,D,20040621,000000,8.5548,8.5548,8.4014,8.5548,49056.18971199959,0
GTC,D,20040622,000000,8.5169,8.63231,8.47815,8.5548,212728.697755218,0
GTC,D,20040623,000000,8.59355,8.82417,8.59355,8.70963,200948.23151694238,0
GTC,D,20040624,000000,8.70963,8.78656,8.63231,8.70963,133611.5755664832,0
GTC,D,20040625,000000,8.63231,8.70963,8.63231,8.70963,5371.382636807999,0
