<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN,D,20010510,000000,0.662831,0.670244,0.648186,0.659124,200140.53424446858,0
GTN,D,20010511,000000,0.655508,0.740125,0.655508,0.725389,428744.8904064458,0
GTN,D,20010514,000000,0.732712,0.81751,0.732712,0.780716,128691.16438220699,0
GTN,D,20010515,000000,0.80639,0.80639,0.725389,0.725389,155088.6712312442,0
GTN,D,20010516,000000,0.718067,0.736419,0.681273,0.684889,69745.8767115946,0
GTN,D,20010517,000000,0.736419,0.736419,0.677567,0.71436,13946.520547798398,0
GTN,D,20010518,000000,0.707038,0.718067,0.699625,0.699625,8681.1780821004,0
GTN,D,20010521,000000,0.684889,0.703331,0.677567,0.699625,2924.6986301061997,0
GTN,D,20010522,000000,0.699625,0.707038,0.681273,0.681273,46144.753424171795,0
GTN,D,20010523,000000,0.688596,0.688596,0.67386,0.688596,26530.246575063196,0
GTN,D,20010524,000000,0.681273,0.688596,0.677567,0.677567,11110.3150683762,0
GTN,D,20010525,000000,0.677567,0.688596,0.677567,0.677567,9875.8356163344,0
GTN,D,20010528,000000,0.67386,0.677567,0.67386,0.67386,6287.4383560982,0
GTN,D,20010529,000000,0.67386,0.67386,0.662831,0.662831,20331.301369648998,0
GTN,D,20010530,000000,0.659124,0.659124,0.640773,0.651802,31906.205479116197,0
GTN,D,20010531,000000,0.625947,0.651802,0.625947,0.651802,3424.6849314707997,0
GTN,D,20010601,000000,0.651802,0.662831,0.640773,0.662831,14756.232876556998,0
GTN,D,20010604,000000,0.651802,0.651802,0.651802,0.651802,37839.671232478395,0
GTN,D,20010605,000000,0.677567,0.707038,0.651802,0.651802,13809.3561642382,0
GTN,D,20010606,000000,0.651802,0.651802,0.651802,0.651802,10004.1506848262,0
GTN,D,20010607,000000,0.651802,0.651802,0.651802,0.651802,8681.1780821004,0
GTN,D,20010608,000000,0.659124,0.670244,0.659124,0.670244,10318.3013697544,0
GTN,D,20010612,000000,0.640773,0.655508,0.640773,0.655508,94829.2602729744,0
GTN,D,20010613,000000,0.666537,0.666537,0.651802,0.659124,23158.6575340028,0
GTN,D,20010615,000000,0.640773,0.651802,0.63345,0.63345,16278.3150683218,0
GTN,D,20010618,000000,0.63345,0.655508,0.614918,0.63345,14742.958903954399,0
GTN,D,20010619,000000,0.63345,0.651802,0.614918,0.63345,66582.2465746416,0
GTN,D,20010620,000000,0.622331,0.622331,0.622331,0.622331,814.1369862928,0
GTN,D,20010621,000000,0.625947,0.640773,0.614918,0.640773,17574.7397258424,0
GTN,D,20010622,000000,0.614918,0.640773,0.614918,0.640773,1358.3698629993999,0
GTN,D,20010625,000000,0.63345,0.63345,0.63345,0.63345,1902.6027397059997,0
GTN,D,20010626,000000,0.63345,0.63345,0.559772,0.559772,9331.602739627799,0
GTN,D,20010627,000000,0.596566,0.596566,0.578124,0.578124,38215.767122885394,0
GTN,D,20010628,000000,0.618624,0.618624,0.570801,0.570801,1632.6986301197999,0
GTN,D,20010629,000000,0.596566,0.596566,0.54133,0.54133,187322.3013678912,0
GTN,D,20010702,000000,0.54133,0.567095,0.54133,0.559772,17158.8219176276,0
GTN,D,20010703,000000,0.54133,0.54133,0.50083,0.54133,63945.15068425839,0
GTN,D,20010704,000000,0.493417,0.537624,0.493417,0.519272,10229.808219070399,0
