<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN,D,20050601,000000,3.43714,3.43714,3.21811,3.28392,410879.66484883,0
LEN,D,20050602,000000,3.43714,3.65608,3.41544,3.61227,200364.71389582,0
LEN,D,20050603,000000,3.69989,3.69989,3.39344,3.52485,115844.80653914,0
LEN,D,20050606,000000,3.54656,3.54656,3.45915,3.52485,55629.585830886,0
LEN,D,20050607,000000,3.50276,3.50276,3.48095,3.50276,9900.6158037832,0
LEN,D,20050608,000000,3.54656,3.56847,3.50276,3.54656,37979.411444021,0
LEN,D,20050609,000000,3.50276,3.65608,3.48095,3.65608,61808.482288632,0
LEN,D,20050610,000000,3.65608,3.98453,3.65608,3.8094,140646.68119846,0
LEN,D,20050613,000000,3.83121,3.83121,3.74359,3.8094,40580.403269626,0
LEN,D,20050614,000000,3.7656,3.7874,3.67808,3.67808,37336.354223314,0
LEN,D,20050615,000000,3.67808,3.7656,3.63427,3.74359,41886.03542221,0
LEN,D,20050616,000000,3.74359,3.7874,3.63427,3.72179,106924.18528576,0
LEN,D,20050617,000000,3.67808,3.74359,3.67808,3.74359,8155.3215258596,0
LEN,D,20050620,000000,3.65608,3.72179,3.65608,3.72179,155.1144414164,0
LEN,D,20050621,000000,3.65608,3.67808,3.61227,3.67808,6548.70572205,0
LEN,D,20050622,000000,3.54656,3.67808,3.48095,3.65608,51019.297002562,0
LEN,D,20050623,000000,3.52485,3.65608,3.50276,3.65608,50921.708446704,0
LEN,D,20050627,000000,3.56847,3.63427,3.56847,3.63427,9973.5504086876,0
LEN,D,20050628,000000,3.61227,3.61227,3.61227,3.61227,797.1444141664,0
LEN,D,20050629,000000,3.52485,3.54656,3.50276,3.54656,9470.1989100516,0
LEN,D,20050630,000000,3.56847,3.59037,3.56847,3.59037,3630.2942779176,0
LEN,D,20050701,000000,3.54656,3.56847,3.54656,3.56847,11421.970027212,0
LEN,D,20050704,000000,3.59037,3.59037,3.59037,3.59037,685.1743869188,0
