<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,D,20081229,000000,1.04593,2.0424,1.02954,2.0424,226715.05406094,0
MRB,D,20081230,000000,1.57302,1.90246,1.55653,1.60589,284242.00000864,0
MRB,D,20081231,000000,1.56477,2.0424,1.56477,2.0424,233752.45946656,0
MRB,D,20090105,000000,1.98479,2.14956,1.81188,1.89412,179347.08108653,0
MRB,D,20090106,000000,1.82827,1.87773,1.72945,1.72945,82974.554056575,0
MRB,D,20090107,000000,1.64711,1.88597,1.57302,1.69657,119315.62162525,0
MRB,D,20090108,000000,1.78715,1.78715,1.72945,1.72945,34631.891892944,0
MRB,D,20090109,000000,1.72945,1.74593,1.64711,1.71305,42432.608109397,0
MRB,D,20090112,000000,1.72945,1.73769,1.57302,1.58126,28371.675676538,0
MRB,D,20090113,000000,1.56477,1.56477,1.41649,1.51531,32669.702703695,0
MRB,D,20090114,000000,1.54014,1.54014,1.32591,1.40001,49836.189190703,0
MRB,D,20090115,000000,1.25182,1.43298,1.25182,1.25182,66311.959461474,0
MRB,D,20090116,000000,1.36713,1.36713,1.2847,1.35888,25333.378379148,0
MRB,D,20090119,000000,1.35888,1.38352,1.32591,1.32591,22278.000000677,0
MRB,D,20090120,000000,1.35888,1.35888,1.25182,1.30952,25636.567568346,0
MRB,D,20090121,000000,1.30952,1.35888,1.27655,1.35888,52576.635136732,0
MRB,D,20090122,000000,1.35888,1.35888,1.3424,1.35064,36354.94594705,0
MRB,D,20090123,000000,1.38352,1.38352,1.27655,1.35888,107673.79730057,0
MRB,D,20090126,000000,1.39186,1.39186,1.32591,1.39186,124236.04054431,0
MRB,D,20090127,000000,1.39186,1.42483,1.39186,1.39186,70340.959461596,0
MRB,D,20090128,000000,1.39186,1.41649,1.35888,1.40001,136848.28378794,0
MRB,D,20090129,000000,1.39186,1.39186,1.37546,1.39186,76868.067569903,0
MRB,D,20090130,000000,1.41649,1.42483,1.38352,1.41649,72770.743245454,0
MRB,D,20090202,000000,1.41649,1.41649,1.35888,1.40834,34627.621622674,0
MRB,D,20090203,000000,1.40834,1.40834,1.35064,1.40001,36933.56756869,0
MRB,D,20090204,000000,1.40834,1.40834,1.35888,1.40834,42024.797298574,0
MRB,D,20090205,000000,1.40834,1.40834,1.39186,1.40001,56875.729731458,0
MRB,D,20090206,000000,1.40834,1.42483,1.40001,1.42483,60068.824326149,0
