<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA,D,20070720,000000,40.3678,43.623,37.8973,37.8973,1062729.2682877,0
NVA,D,20070723,000000,38.6287,38.6287,35.425,38.3083,136079.26829205,0
NVA,D,20070724,000000,38.3083,38.3083,37.0716,37.8973,99464.243901976,0
NVA,D,20070725,000000,35.589,37.8973,35.589,37.8973,15108.731707247,0
NVA,D,20070726,000000,37.8973,37.8973,36.6607,37.0812,12862.243902379,0
NVA,D,20070727,000000,35.5079,35.9932,35.425,35.8378,8386.0487804488,0
NVA,D,20070730,000000,35.1437,35.425,33.7773,33.8593,11319.487804825,0
NVA,D,20070731,000000,33.7773,35.0464,33.7773,34.9473,2848.4878048648,0
NVA,D,20070801,000000,34.3942,35.7797,33.3664,35.4335,8243.414634108,0
NVA,D,20070802,000000,35.8378,37.8973,35.8378,37.0716,5242.8536585122,0
NVA,D,20070803,000000,37.0716,38.7202,35.7549,37.1145,9044.6829267872,0
NVA,D,20070806,000000,35.589,37.1145,35.014,37.065,8371.3658536196,0
NVA,D,20070807,000000,36.2907,37.0716,36.2488,36.2488,1044.5853658488,0
NVA,D,20070808,000000,35.177,37.065,34.2712,36.899,864.1951219472,0
NVA,D,20070809,000000,37.0392,37.0392,35.26,36.2488,3165.2195121804,0
NVA,D,20070810,000000,33.7773,35.4164,33.7773,35.4164,3322.5365853504,0
NVA,D,20070813,000000,37.0392,37.0392,33.7773,36.2402,7168.414634113,0
NVA,D,20070814,000000,35.014,35.8378,34.6002,35.014,3703.2439024218,0
NVA,D,20070816,000000,32.9535,32.9535,32.1287,32.9535,6962.8536585042,0
NVA,D,20070817,000000,32.9535,35.425,31.3059,35.425,5707.4634146076,0
NVA,D,20070820,000000,35.425,37.0392,35.425,36.1658,3732.6097560802,0
NVA,D,20070821,000000,36.2402,36.2402,35.3267,35.3267,31.463414634,0
NVA,D,20070822,000000,36.1658,36.1658,34.6002,35.4164,276.8780487792,0
NVA,D,20070823,000000,33.9995,34.6002,33.9995,34.1883,3102.2926829124,0
NVA,D,20070824,000000,34.1883,34.1883,33.7773,34.1883,1224.9756097504,0
NVA,D,20070827,000000,34.1883,34.6002,32.9535,34.6002,3897.2682926648,0
NVA,D,20070828,000000,35.26,35.26,34.6002,34.6002,2814.9268292552,0
NVA,D,20070829,000000,33.7773,34.6002,33.7773,34.6002,6354.5609755802,0
NVA,D,20070830,000000,34.6002,35.26,34.6002,35.014,3501.8780487642,0
NVA,D,20070831,000000,34.931,35.0045,34.6002,35.0045,854.756097557,0
NVA,D,20070903,000000,35.425,35.425,33.7773,35.219,893.5609756056,0
NVA,D,20070904,000000,35.8378,35.8378,34.6002,34.6002,1019.4146341416,0
NVA,D,20070905,000000,35.014,35.054,34.931,35.014,6918.8048780166,0
NVA,D,20070906,000000,35.014,35.177,34.2712,35.014,7429.5609755752,0
NVA,D,20070907,000000,34.8157,35.425,34.8157,35.014,14688.170731639,0
NVA,D,20070910,000000,33.9585,35.0045,33.0441,33.7773,5342.4878048532,0
NVA,D,20070911,000000,33.7773,34.6002,33.7773,33.7773,1481.9268292614,0
NVA,D,20070912,000000,33.7773,34.8071,33.7773,34.8071,274.7804878036,0
NVA,D,20070913,000000,33.3664,35.0045,33.3664,35.0045,2612.5121951098,0
NVA,D,20070914,000000,33.457,34.6002,33.457,34.6002,98.5853658532,0
NVA,D,20070917,000000,34.1883,34.1883,33.3664,33.3664,95.4390243898,0
