<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT,D,20110809,000000,5.38819,7.69872,5.38819,7.69872,29998.6861812426,0
SNT,D,20110810,000000,9.14835,9.14835,7.57713,7.60523,10564.3887582796,0
SNT,D,20110811,000000,8.419,8.419,8.419,8.419,3183.1077281857997,0
SNT,D,20110812,000000,9.0739,9.0739,8.32551,8.98031,6145.152224531999,0
SNT,D,20110816,000000,9.0739,10.2904,9.0739,10.2904,24694.182668614398,0
SNT,D,20110818,000000,10.1957,10.2904,10.1957,10.1957,340.72131145919997,0
SNT,D,20110902,000000,10.0942,10.9452,10.0942,10.9452,1348.688524526,0
SNT,D,20110905,000000,10.9452,10.9452,10.9452,10.9452,865.9999999588,0
SNT,D,20110906,000000,10.9452,10.9452,10.9452,10.9452,1175.2857142297999,0
SNT,D,20110907,000000,10.5705,12.1611,10.5705,12.1611,17104.007024947397,0
SNT,D,20110908,000000,11.6927,11.6927,11.4116,11.4116,813.2693208044,0
SNT,D,20110909,000000,11.5063,11.9738,10.2431,10.2431,4557.1475407667995,0
SNT,D,20110912,000000,10.8969,10.8969,9.54094,10.8969,8853.6838403282,0
SNT,D,20110913,000000,10.3091,10.815,10.3091,10.815,213.96487118419998,0
SNT,D,20110915,000000,10.3091,11.1779,10.3091,11.1779,1851.6580795372,0
SNT,D,20110919,000000,10.7953,10.8052,10.7953,10.8052,3207.4449647185997,0
SNT,D,20110920,000000,10.7568,10.8052,10.7568,10.8052,425.901639324,0
SNT,D,20110921,000000,10.6642,10.8052,9.82199,10.1208,259544.45900404558,0
SNT,D,20110922,000000,10.0094,10.0094,10.0094,10.0094,28863.9625279008,0
SNT,D,20110923,000000,10.3841,10.4768,10.3841,10.4768,9622.3348941558,0
SNT,D,20110926,000000,10.4768,11.6927,10.2904,11.6927,10988.2622945592,0
SNT,D,20110927,000000,11.6927,11.7302,11.4116,11.4116,1872.9531615034,0
SNT,D,20110928,000000,10.8515,11.2253,10.4768,11.2253,1306.0983605935999,0
SNT,D,20110929,000000,10.3841,11.2253,9.91567,11.2253,58531.053861383996,0
SNT,D,20110930,000000,11.2253,11.2253,11.2253,11.2253,3.0421545666,0
SNT,D,20111003,000000,11.2253,11.2253,11.2253,11.2253,3.0421545666,0
SNT,D,20111004,000000,10.5991,11.2253,10.2904,11.2253,1201.651053807,0
SNT,D,20111005,000000,11.1977,11.2253,11.1977,11.2253,443.1405152014,0
SNT,D,20111006,000000,11.4116,11.4116,11.2253,11.2253,1180.3559718407998,0
SNT,D,20111007,000000,11.4116,11.4116,11.4116,11.4116,5.070257611,0
SNT,D,20111010,000000,11.3199,12.6285,11.2904,12.6285,1846.5878219262,0
SNT,D,20111011,000000,12.5349,12.5349,12.1611,12.5349,5362.3044493935995,0
SNT,D,20111012,000000,12.6285,12.6285,12.1611,12.1611,955.2365339124,0
SNT,D,20111013,000000,12.1611,12.1611,12.1611,12.1611,1752.2810303616,0
SNT,D,20111014,000000,12.3475,12.3475,12.2548,12.3012,1609.2997657314,0
SNT,D,20111017,000000,12.2548,12.2548,12.2548,12.2548,208.8946135732,0
SNT,D,20111018,000000,12.2548,12.2548,12.2548,12.2548,5.070257611,0
SNT,D,20111019,000000,12.2548,12.2548,12.2548,12.2548,5.070257611,0
SNT,D,20111020,000000,12.2548,12.2548,12.2548,12.2548,5.070257611,0
SNT,D,20111021,000000,12.2548,12.2548,12.1611,12.2548,2678.1100701302,0
SNT,D,20111024,000000,12.1611,12.2459,12.1611,12.2459,1275.6768149276,0
SNT,D,20111025,000000,12.1611,12.1611,12.1611,12.1611,219.0351287952,0
SNT,D,20111026,000000,12.1611,12.1611,12.1611,12.1611,5.070257611,0
SNT,D,20111027,000000,12.1611,12.1611,12.1611,12.1611,112.55971896419999,0
SNT,D,20111028,000000,12.1611,12.1611,12.1611,12.1611,1609.2997657314,0
SNT,D,20111031,000000,12.1611,12.1611,12.1611,12.1611,534.4051521993999,0
SNT,D,20111103,000000,12.1611,13.0023,12.1611,13.0023,3479.2107726681998,0
SNT,D,20111104,000000,13.0023,13.0023,13.0023,13.0023,20.281030444,0
SNT,D,20111107,000000,13.0023,13.0023,12.4422,12.5349,3815.8758780385997,0
SNT,D,20111108,000000,12.5349,12.6285,12.5349,12.6285,4841.0819669828,0
SNT,D,20111109,000000,12.6285,12.7222,12.6285,12.7222,701.7236533624,0
SNT,D,20111110,000000,12.7222,12.8159,12.7222,12.8159,3202.3747071076,0
SNT,D,20111114,000000,12.8159,12.8159,12.6285,12.8159,5305.517564150399,0
SNT,D,20111115,000000,12.8159,12.8159,12.7873,12.8159,5564.1007023114,0
SNT,D,20111116,000000,12.8159,12.8159,12.8061,12.8061,4705.199063008,0
SNT,D,20111117,000000,12.7775,12.7873,12.7775,12.7873,4918.14988267,0
SNT,D,20111118,000000,12.7873,12.7873,12.7873,12.7873,4543.9648709781995,0
SNT,D,20111121,000000,13.0023,13.0023,12.9569,12.9569,1875.99531607,0
SNT,D,20111122,000000,13.0023,13.3307,12.9934,13.3208,2410.4004682694,0
SNT,D,20111123,000000,13.377,13.377,13.2557,13.377,3906.1264635144,0
SNT,D,20111124,000000,13.3672,13.377,13.3672,13.377,6715.0491800084,0
SNT,D,20111125,000000,13.377,13.377,13.377,13.377,1020.1358313331999,0
SNT,D,20111128,000000,13.3573,13.3573,13.3573,13.3573,5.070257611,0
SNT,D,20111129,000000,13.3573,13.3573,13.3573,13.3573,5.070257611,0
SNT,D,20111130,000000,13.377,13.377,13.377,13.377,148.0515222412,0
SNT,D,20111201,000000,13.377,13.377,12.8159,12.8159,274.8079625162,0
SNT,D,20111202,000000,12.8159,12.8159,12.8159,12.8159,1897.2903980361998,0
SNT,D,20111205,000000,12.7775,12.7873,12.7775,12.7775,1928.7259952243999,0
SNT,D,20111206,000000,12.7597,12.7597,12.7597,12.7597,919.7447306354,0
SNT,D,20111207,000000,12.7597,12.7597,12.7597,12.7597,537.447306766,0
SNT,D,20111209,000000,12.7222,12.7222,12.7222,12.7222,5.070257611,0
SNT,D,20111212,000000,12.6285,12.7597,12.6285,12.7597,1026.2201404664,0
