<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20060921,000000,10.1051,10.6748,10.071,10.2446,964493.5477003974,0
ABE,D,20060922,000000,10.2368,10.2368,9.85245,10.1588,60558.2713543794,0
ABE,D,20060925,000000,10.0622,10.3597,10.0622,10.3597,143428.4020043553,0
ABE,D,20060926,000000,10.4212,10.5529,10.4212,10.5441,119850.51255805531,0
ABE,D,20060927,000000,10.588,10.588,10.2446,10.4651,78861.8894441049,0
ABE,D,20060928,000000,10.2446,10.509,10.2017,10.509,42782.592963125404,0
ABE,D,20060929,000000,10.5343,10.5343,10.3334,10.509,40856.381907925504,0
ABE,D,20061002,000000,10.509,10.509,10.2544,10.509,74732.6834141181,0
ABE,D,20061003,000000,10.4299,10.509,10.4299,10.5012,24213.467335722,0
ABE,D,20061004,000000,10.4212,10.5265,10.4212,10.5265,75792.6633135735,0
ABE,D,20061005,000000,10.509,10.5792,10.509,10.5529,122573.2462262889,0
ABE,D,20061006,000000,10.588,10.9021,10.5529,10.9021,80187.3768812382,0
ABE,D,20061009,000000,10.9021,10.9723,10.8582,10.9723,23090.9547729525,0
ABE,D,20061010,000000,10.9908,10.9908,10.8582,10.9908,74820.8442181347,0
ABE,D,20061011,000000,11.0347,11.1216,11.0084,11.0347,45600.663314772304,0
ABE,D,20061012,000000,11.0786,11.341,11.0786,11.3069,18794.653265585403,0
ABE,D,20061013,000000,11.3849,11.4288,11.2181,11.3147,129525.6482360631,0
ABE,D,20061016,000000,11.3674,11.3674,11.2094,11.2972,26666.592963765303,0
ABE,D,20061017,000000,10.946,11.0347,10.7977,10.8679,30528.241204818,0
ABE,D,20061018,000000,10.8162,11.2094,10.8162,10.9021,28846.010049105902,0
ABE,D,20061019,000000,10.8582,11.0425,10.8582,10.9021,15301.025125020602,0
ABE,D,20061020,000000,10.8679,10.9811,10.7284,10.7284,18595.778893734,0
ABE,D,20061023,000000,10.7714,10.8582,10.7714,10.8582,7497.768843923401,0
ABE,D,20061024,000000,10.946,10.946,10.8582,10.946,17660.8643209068,0
ABE,D,20061025,000000,10.8582,10.9304,10.7372,10.8162,12422.4723613158,0
ABE,D,20061026,000000,10.746,10.8582,10.6836,10.6836,17244.6633158982,0
ABE,D,20061027,000000,10.6836,10.6836,10.5265,10.6406,9158.472361445401,0
ABE,D,20061030,000000,10.6836,10.6836,10.4212,10.5529,14587.537687863001,0
ABE,D,20061031,000000,10.6836,10.8231,10.5012,10.5529,2292.1809044316,0
ABE,D,20061102,000000,10.8162,10.8162,10.509,10.5529,27747.0753757827,0
ABE,D,20061103,000000,10.8065,10.8065,10.5177,10.5177,13941.70854216,0
ABE,D,20061106,000000,10.5529,10.6836,10.5529,10.6836,5064.120602814,0
ABE,D,20061107,000000,11.0425,11.8229,11.0425,11.8229,237342.2110458525,0
ABE,D,20061108,000000,12.1819,12.6989,12.1292,12.1722,129841.3869295179,0
ABE,D,20061109,000000,12.6111,12.6111,11.9107,12.0415,27528.723616997402,0
ABE,D,20061110,000000,12.0853,12.0853,11.7956,11.8659,28627.658290320604,0
ABE,D,20061113,000000,11.8922,11.901,11.5157,11.6474,11395.2964819596,0
ABE,D,20061114,000000,11.3849,11.8659,11.2972,11.8659,33219.1959785805,0
ABE,D,20061115,000000,11.9107,11.9107,11.5079,11.5079,25094.0502502599,0
ABE,D,20061116,000000,11.6474,11.6474,11.3947,11.6298,2416.2211054317004,0
ABE,D,20061117,000000,11.5586,11.5586,11.3947,11.3947,8773.0251252798,0
ABE,D,20061120,000000,11.6298,11.6298,11.4805,11.6025,1373.6683416540002,0
ABE,D,20061121,000000,11.5508,12.1546,11.5508,12.0853,52894.43215870381,0
ABE,D,20061122,000000,12.1722,12.3039,11.9273,12.26,48518.170852344905,0
ABE,D,20061123,000000,12.26,12.4521,12.26,12.4355,26470.793968798203,0
ABE,D,20061124,000000,12.5233,12.6989,12.5233,12.6989,50260.884420114904,0
ABE,D,20061127,000000,12.6989,12.8726,12.6989,12.8296,28229.9095466178,0
ABE,D,20061128,000000,13.0404,13.0404,12.6989,12.7867,31752.2412047694,0
ABE,D,20061129,000000,12.9165,13.2247,12.9165,13.1798,24723.9798985158,0
ABE,D,20061130,000000,13.1798,13.4432,13.0657,13.1369,66713.12562549181,0
ABE,D,20061201,000000,13.3554,13.3554,13.013,13.3554,40004.5025109744,0
ABE,D,20061204,000000,13.3896,13.3896,13.0921,13.3291,12609.045225630001,0
ABE,D,20061205,000000,13.7486,14.4499,13.7486,14.1856,92887.65828776911,0
ABE,D,20061206,000000,14.4421,14.4421,13.968,14.0119,23975.638190002803,0
ABE,D,20061207,000000,13.889,14.7123,13.889,14.7123,74622.99497191141,0
ABE,D,20061208,000000,14.6694,16.0263,14.6694,15.3259,109212.7839152616,0
ABE,D,20061211,000000,15.4127,16.9452,15.4127,16.8935,75447.19597690381,0
ABE,D,20061212,000000,16.9013,16.9013,15.9385,16.5248,102030.753764793,0
ABE,D,20061213,000000,16.4458,16.4458,15.7551,15.8498,24391.839195011402,0
ABE,D,20061214,000000,15.8498,15.8498,14.887,15.4127,48261.8894453199,0
ABE,D,20061215,000000,15.3162,15.3259,14.0119,15.3259,52587.919595901905,0
ABE,D,20061218,000000,14.887,15.3688,14.887,15.3259,13707.979898953201,0
ABE,D,20061219,000000,15.719,15.7551,14.6694,14.887,43806.6934655973,0
ABE,D,20061220,000000,14.4499,15.3162,14.4499,14.887,75263.6984894739,0
ABE,D,20061221,000000,14.6333,14.887,14.2305,14.4148,4974.9346731693,0
ABE,D,20061222,000000,14.4499,14.8431,14.4499,14.8001,7060.0402007247,0
ABE,D,20061227,000000,14.8089,15.1503,14.8001,14.9748,6826.311557517901,0
ABE,D,20061228,000000,15.3074,15.3074,14.7123,14.9748,19151.396984164203,0
ABE,D,20061229,000000,14.887,15.0625,14.4499,14.9748,5556.180904302,0
ABE,D,20070102,000000,14.887,14.887,14.8431,14.8431,2195.8190953902003,0
ABE,D,20070103,000000,14.887,14.887,14.1953,14.8001,13731.557788399501,0
ABE,D,20070104,000000,14.7123,14.8431,14.4499,14.8431,14946.331657698001,0
ABE,D,20070105,000000,14.3621,14.8431,14.2743,14.4499,46949.7286413519,0
ABE,D,20070108,000000,14.2051,14.5299,14.2051,14.4499,8104.6432157586005,0
ABE,D,20070109,000000,14.4499,14.8265,14.4499,14.8265,29017.206028998604,0
ABE,D,20070110,000000,14.8431,15.1074,14.8001,14.9748,19234.432160040302,0
ABE,D,20070111,000000,14.9748,15.5874,14.887,15.5786,72497.9095448601,0
ABE,D,20070112,000000,15.7893,15.7893,15.4566,15.4996,42198.2713551084,0
ABE,D,20070115,000000,15.7454,15.7551,15.4996,15.6235,19065.2864314038,0
ABE,D,20070116,000000,15.719,15.7454,15.1503,15.4996,12165.1658286627,0
ABE,D,20070117,000000,15.2381,15.5874,15.2381,15.5874,17396.381908857,0
ABE,D,20070118,000000,15.1767,16.1931,15.1767,16.1141,23306.2311548535,0
ABE,D,20070119,000000,16.2009,16.2009,15.7639,15.7639,6846.8140700799,0
ABE,D,20070122,000000,15.7727,16.0263,15.7639,15.7639,6821.1859293774005,0
ABE,D,20070123,000000,15.719,16.1756,15.2811,16.1756,25122.7537678467,0
ABE,D,20070124,000000,16.2009,16.6399,16.2009,16.6399,20664.482411239802,0
ABE,D,20070125,000000,17.2076,17.3393,16.6399,16.6399,8184.603014750401,0
ABE,D,20070126,000000,15.8498,16.7267,15.8498,16.6399,10774.070351331,0
ABE,D,20070129,000000,16.6399,16.6399,16.4721,16.6399,22955.6381900433,0
ABE,D,20070130,000000,16.4643,16.6399,16.4643,16.6399,9774.572863933501,0
ABE,D,20070131,000000,16.7267,16.9013,16.6399,16.9013,8785.326632817001,0
ABE,D,20070201,000000,16.9901,17.909,16.9901,17.7773,41092.160802388506,0
ABE,D,20070202,000000,17.8642,18.3031,17.2525,17.9529,12235.899497001601,0
ABE,D,20070205,000000,17.9529,18.3031,17.9529,18.2856,612579.1959555765,0
ABE,D,20070206,000000,18.3909,18.3909,17.9529,18.3031,4474.673366656501,0
ABE,D,20070207,000000,17.5325,18.2934,17.5325,17.8642,3042.5728642008003,0
ABE,D,20070208,000000,17.5325,17.8134,17.2525,17.3393,19227.2562806436,0
ABE,D,20070209,000000,17.2525,17.3393,16.3765,17.0779,17325.6482405181,0
ABE,D,20070212,000000,16.6399,17.1638,16.5433,17.0779,69180.6030123285,0
ABE,D,20070213,000000,17.0867,18.3031,16.8574,18.1275,7092.8442208239,0
ABE,D,20070214,000000,18.7577,18.7577,17.9968,18.2144,21152.442210215402,0
ABE,D,20070215,000000,18.0397,18.2144,17.5578,17.5676,3047.6984923413,0
ABE,D,20070216,000000,17.514,17.7598,17.3393,17.514,6548.502512302801,0
ABE,D,20070219,000000,17.514,18.347,17.514,18.1275,10039.0552759833,0
ABE,D,20070220,000000,18.2934,18.2934,18.1275,18.1363,2505.4070350764,0
ABE,D,20070221,000000,18.2144,18.2144,17.75,17.7773,2095.3567838364,0
ABE,D,20070222,000000,17.514,17.8642,17.4271,17.8642,5557.2060299301,0
ABE,D,20070223,000000,17.514,18.0397,17.3393,18.0397,11621.849245769701,0
ABE,D,20070226,000000,17.8642,17.9529,17.8642,17.9529,1216.8241205547001,0
ABE,D,20070227,000000,18.1188,18.1188,16.8574,16.9287,14724.9045220284,0
ABE,D,20070228,000000,16.4643,16.8145,15.9385,16.6399,14880.723617499601,0
ABE,D,20070301,000000,16.9013,16.9013,15.7639,15.8498,11310.211054827301,0
ABE,D,20070302,000000,16.2009,16.2009,15.5971,16.1044,3356.2613063994004,0
ABE,D,20070305,000000,15.6761,15.6761,15.0625,15.3962,3074.3517586719004,0
ABE,D,20070306,000000,15.2381,16.2009,15.2381,16.2009,15530.653265715002,0
ABE,D,20070307,000000,16.595,16.8048,16.5063,16.8048,4006.1909546148004,0
ABE,D,20070308,000000,16.9901,17.3306,16.9901,17.313,3588.9648239781004,0
ABE,D,20070309,000000,17.4974,17.4974,16.9013,17.471,11793.045225662401,0
ABE,D,20070312,000000,17.4271,17.909,17.4271,17.8642,16630.6130646663,0
ABE,D,20070313,000000,17.909,17.9441,17.8642,17.8642,24757.809044243102,0
ABE,D,20070314,000000,17.2525,17.6895,16.9804,17.6895,4761.7085425245,0
ABE,D,20070315,000000,17.514,17.514,17.0418,17.514,25471.296481400703,0
ABE,D,20070316,000000,17.514,17.514,17.0779,17.514,13274.351758266901,0
ABE,D,20070319,000000,17.514,17.6895,17.1208,17.6895,4394.7135676647,0
ABE,D,20070320,000000,17.514,17.6895,17.514,17.6895,16422.512562162003,0
ABE,D,20070321,000000,17.6895,18.0397,17.514,18.0397,9149.2462307925,0
ABE,D,20070322,000000,18.1451,18.8289,18.1451,18.7411,43775.9396967543,0
ABE,D,20070323,000000,18.8289,19.3371,18.7411,19.3098,13415.819094944702,0
ABE,D,20070326,000000,19.3537,19.66,19.0913,19.3098,15192.361808442001,0
ABE,D,20070327,000000,19.2669,19.2669,18.785,18.785,7487.517587642401,0
ABE,D,20070328,000000,18.8289,18.8289,18.2144,18.347,4540.2814068549005,0
ABE,D,20070329,000000,18.347,18.4348,18.0573,18.0846,4228.643215912501,0
ABE,D,20070330,000000,18.1275,19.2669,18.0934,19.2669,8038.010049932101,0
ABE,D,20070402,000000,19.66,19.7049,19.1781,19.1781,4212.241205862901,0
ABE,D,20070403,000000,19.2669,19.7049,19.2669,19.6171,11508.0603010506,0
ABE,D,20070404,000000,20.1429,20.1429,19.7049,19.7049,19583.9999992224,0
ABE,D,20070405,000000,19.7917,20.1429,19.3537,20.1429,8623.356783577201,0
ABE,D,20070410,000000,20.9213,21.4023,20.4658,21.4023,120016.5829098075,0
ABE,D,20070411,000000,21.4559,21.4559,20.8423,21.1915,7448.562813774601,0
ABE,D,20070412,000000,20.9311,21.0179,20.1429,21.0179,9726.3919594128,0
ABE,D,20070413,000000,20.6326,20.9311,20.6326,20.7994,35526.753767433605,0
ABE,D,20070416,000000,20.5799,21.1408,20.5799,21.0179,3447.4974873003002,0
ABE,D,20070417,000000,21.0091,21.0091,20.5799,20.8423,4347.5577887721,0
ABE,D,20070418,000000,20.8423,21.0091,20.2287,20.7555,7294.793969559601,0
ABE,D,20070419,000000,20.9916,20.9916,20.3253,20.974,245210.05024152002,0
ABE,D,20070420,000000,21.0179,22.5055,21.0179,21.6305,21877.2060292821,0
