<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,D,20091023,000000,12.4261,12.6271,12.1056,12.3464,142638.44776554,0
ATC,D,20091026,000000,12.4183,12.4183,12.2338,12.2668,21316.880597664,0
ATC,D,20091027,000000,12.2668,12.4911,12.1056,12.4911,86036.820898141,0
ATC,D,20091028,000000,12.4183,12.4183,12.0979,12.1144,18038.865672191,0
ATC,D,20091029,000000,12.1221,12.1221,11.7046,11.8736,31215.805971099,0
ATC,D,20091030,000000,11.7367,11.8658,11.7046,11.7852,23450.731343997,0
ATC,D,20091102,000000,11.8658,11.8658,11.7454,11.7852,33418.656717435,0
ATC,D,20091103,000000,11.7852,12.0182,11.625,11.9056,6398.4626867619,0
ATC,D,20091104,000000,11.9852,11.9852,11.7852,11.7852,6965.9104479732,0
ATC,D,20091105,000000,11.6648,12.0182,11.6648,11.6803,7359.3134330598,0
ATC,D,20091106,000000,11.7046,11.9211,11.5842,11.9134,6011.2388061531,0
ATC,D,20091109,000000,11.6726,12.4261,11.6726,12.1221,14515.746269098,0
ATC,D,20091110,000000,12.3057,12.3057,12.0416,12.1862,12308.776119778,0
ATC,D,20091112,000000,12.1464,12.1862,12.0095,12.0095,14720.686567612,0
ATC,D,20091113,000000,12.0649,12.1056,12.0649,12.1056,1266.716417949,0
ATC,D,20091116,000000,12.2668,12.3785,12.0338,12.1299,13626.985075042,0
ATC,D,20091117,000000,12.0416,12.1056,12.025,12.025,3284.1940299507,0
ATC,D,20091118,000000,12.025,12.025,11.7852,11.8658,9643.5223883532,0
ATC,D,20091119,000000,11.825,11.8978,11.7289,11.7454,6701.2388061741,0
ATC,D,20091120,000000,11.825,11.9134,11.7133,11.9134,1771.343283636,0
ATC,D,20091123,000000,11.7046,11.7852,11.7046,11.7532,227.5970149323,0
ATC,D,20091124,000000,11.7532,11.8163,11.7133,11.7454,3869.1492538491,0
ATC,D,20091125,000000,11.7454,11.7765,11.6328,11.6328,3157.5223881558,0
ATC,D,20091126,000000,11.6959,11.6959,11.4648,11.5444,1839.3134328918,0
ATC,D,20091127,000000,11.223,11.5279,11.1434,11.5123,31127.238806917,0
ATC,D,20091130,000000,11.2725,11.625,11.1832,11.5056,13898.865672065,0
ATC,D,20091201,000000,11.3842,11.4162,11.2395,11.3764,13375.701492944,0
ATC,D,20091202,000000,11.3764,11.3842,11.223,11.3764,47207.328359646,0
ATC,D,20091203,000000,11.2317,11.9056,11.223,11.9056,48021.940299969,0
ATC,D,20091204,000000,11.8891,12.025,11.6328,12.0017,10496.23880629,0
ATC,D,20091207,000000,12.0017,12.0017,11.7852,11.9377,10889.641791376,0
ATC,D,20091208,000000,12.0095,13.0194,12.0095,12.6824,461223.80598419,0
ATC,D,20091209,000000,12.8436,13.3485,12.7863,13.2281,258684.08956011,0
ATC,D,20091210,000000,13.3806,13.4039,12.9232,12.9883,52880.776121012,0
ATC,D,20091211,000000,13.0689,13.1398,12.8669,13.0116,46395.805971561,0
ATC,D,20091214,000000,12.9155,13.0281,12.7465,12.9077,43460.731344606,0
ATC,D,20091215,000000,12.8591,12.9883,12.8591,12.9553,36912.940299631,0
ATC,D,20091216,000000,12.8591,13.0514,12.8358,13.0514,80663.059703947,0
ATC,D,20091217,000000,13.0281,13.1398,12.8669,12.9796,84360.223883164,0
ATC,D,20091218,000000,13.0281,13.0281,12.731,12.9883,79191.402987485,0
ATC,D,20091221,000000,12.9883,13.0281,12.9485,12.9485,24239.597015663,0
ATC,D,20091222,000000,12.9485,12.9553,12.7863,12.9485,46959.134329787,0
ATC,D,20091223,000000,12.9718,12.9718,12.7951,12.964,11194.477612281,0
ATC,D,20091228,000000,12.9485,12.9796,12.9077,12.9485,7076.1044778273,0
ATC,D,20091229,000000,12.9232,13.0514,12.8757,12.9485,11578.611940651,0
ATC,D,20091230,000000,12.9077,13.0436,12.9077,12.9796,2458.2537314181,0
ATC,D,20091231,000000,12.9553,12.9883,12.8669,12.9485,2058.6716418537,0
ATC,D,20100104,000000,12.9485,13.0281,12.7552,12.9883,39505.074628068,0
ATC,D,20100105,000000,13.0349,13.1398,12.9077,13.0689,49274.23880747,0
ATC,D,20100106,000000,13.0436,13.0689,12.964,12.9883,59662.343285398,0
ATC,D,20100107,000000,13.0689,13.0689,12.7863,12.8271,15665.059701969,0
