<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,D,20081218,000000,6.23226,6.23226,5.46549,5.46549,14343.853659079,0
ATR,D,20081219,000000,5.45731,5.94672,5.44912,5.94672,15262.185366431,0
ATR,D,20081222,000000,5.94672,5.94672,5.66946,5.73466,13809.804878571,0
ATR,D,20081223,000000,5.7021,5.7021,5.7021,5.7021,251.9317073266,0
ATR,D,20081229,000000,5.7102,5.84069,5.7102,5.83259,4588.1756099296,0
ATR,D,20081230,000000,5.84069,5.93053,5.7102,5.83259,9117.1414637594,0
ATR,D,20081231,000000,5.91408,5.94672,5.86524,5.86524,5700.390244118,0
ATR,D,20090105,000000,6.44441,6.44441,5.73466,5.87334,2880.3804879138,0
ATR,D,20090106,000000,5.74284,6.24044,5.7102,6.24044,16262.946342078,0
ATR,D,20090107,000000,6.11804,6.52589,5.95499,5.95499,53399.073172751,0
ATR,D,20090108,000000,5.75094,5.84069,5.73466,5.84069,5006.1268294576,0
ATR,D,20090112,000000,5.79995,6.21598,5.79995,5.86524,2254.6146342316,0
ATR,D,20090113,000000,5.72648,6.19152,5.72648,6.19152,4019.2975611276,0
ATR,D,20090114,000000,6.19152,6.35466,5.91408,6.27309,20480.770732482,0
ATR,D,20090115,000000,6.03647,6.03647,6.03647,6.03647,794.1073171032,0
ATR,D,20090116,000000,5.8897,6.18333,5.8897,5.95499,1468.634146397,0
ATR,D,20090119,000000,6.31383,6.31383,6.31383,6.31383,1.1609756098,0
ATR,D,20090120,000000,5.87334,6.06912,5.75912,6.06912,1077.3853658944,0
ATR,D,20090121,000000,6.07722,6.07722,5.83259,5.83259,368.0292683066,0
ATR,D,20090122,000000,5.79168,5.95499,5.79168,5.95499,444.6536585534,0
ATR,D,20090123,000000,6.06094,6.06094,5.71829,6.03647,431.8829268456,0
ATR,D,20090126,000000,6.06094,6.06094,5.61235,5.69383,3903.2000001476,0
ATR,D,20090127,000000,5.69383,5.69383,5.57152,5.66119,1401.2975610286,0
ATR,D,20090128,000000,5.69383,5.69383,5.69383,5.69383,11.609756098,0
ATR,D,20090129,000000,5.62854,5.62854,5.62854,5.62854,1295.6487805368,0
ATR,D,20090130,000000,5.56334,5.56334,5.49813,5.54706,2367.2292683822,0
ATR,D,20090202,000000,5.62854,5.62854,4.82103,5.13103,8646.9463417904,0
ATR,D,20090203,000000,5.13913,5.13913,4.89442,4.89442,1265.463414682,0
ATR,D,20090204,000000,4.89442,4.89442,4.64971,4.74764,3302.975609881,0
ATR,D,20090205,000000,4.405,4.81285,4.16021,4.68236,17298.53658602,0
ATR,D,20090206,000000,4.68236,5.62045,4.68236,5.00054,4656.6731709078,0
ATR,D,20090209,000000,4.73128,5.03318,4.73128,5.03318,4670.6048782254,0
ATR,D,20090210,000000,5.15558,5.32681,4.89442,5.32681,12860.126829755,0
ATR,D,20090211,000000,5.44912,5.62045,5.30226,5.33491,9018.4585369264,0
ATR,D,20090212,000000,5.46549,5.46549,5.46549,5.46549,394.731707332,0
ATR,D,20090213,000000,5.46549,5.5226,5.46549,5.5226,536.3707317276,0
ATR,D,20090216,000000,5.38392,5.46549,4.89442,4.89442,4046.000000153,0
ATR,D,20090217,000000,4.73128,4.73128,4.42137,4.42137,6387.6878051196,0
ATR,D,20090218,000000,4.31525,4.31525,4.2255,4.30707,5794.4292685118,0
ATR,D,20090219,000000,4.4131,4.4131,4.39691,4.39691,1143.560975653,0
ATR,D,20090220,000000,4.39691,4.39691,4.39691,4.39691,11.609756098,0
ATR,D,20090223,000000,4.20112,4.38054,4.20112,4.38054,1581.2487805476,0
ATR,D,20090224,000000,4.39691,4.81285,3.96451,4.81285,20204.458537349,0
ATR,D,20090225,000000,4.68236,5.22078,4.68236,4.89442,3535.170731841,0
ATR,D,20090226,000000,4.93525,5.13103,4.93525,5.13103,8888.4292686288,0
ATR,D,20090227,000000,4.89442,5.05756,4.89442,5.05756,1689.219512259,0
ATR,D,20090302,000000,4.95153,4.95153,4.92706,4.92706,775.5317073464,0
ATR,D,20090303,000000,4.73128,4.82913,4.64153,4.715,15237.804878625,0
ATR,D,20090304,000000,4.60079,4.88632,4.60079,4.88632,1066.9365854062,0
ATR,D,20090305,000000,4.91897,5.09847,4.81285,5.09847,2520.4780488758,0
ATR,D,20090306,000000,4.97607,5.09847,4.64971,5.09847,16923.541464055,0
ATR,D,20090309,000000,4.81285,4.81285,4.81285,4.81285,1.1609756098,0
ATR,D,20090310,000000,4.82103,4.82103,4.82103,4.82103,465.5512195298,0
ATR,D,20090311,000000,4.82103,4.89442,4.82103,4.89442,6.9658536588,0
ATR,D,20090312,000000,4.82103,4.89442,4.82103,4.89442,759.2780488092,0
ATR,D,20090313,000000,4.81285,5.53888,4.81285,5.53888,7475.5219515022,0
ATR,D,20090316,000000,4.99227,5.34309,4.99227,5.22078,2511.1902439974,0
ATR,D,20090317,000000,5.53888,5.53888,5.38392,5.38392,464.39024392,0
ATR,D,20090318,000000,5.53888,5.53888,5.48177,5.50623,1251.5317073644,0
ATR,D,20090319,000000,5.48995,5.62854,5.48995,5.62854,123.0634146388,0
ATR,D,20090320,000000,5.69383,5.69383,5.69383,5.69383,35.9902439038,0
ATR,D,20090323,000000,5.75094,6.03647,5.66946,6.03647,1663.6780488434,0
ATR,D,20090324,000000,6.06094,6.09358,6.03647,6.03647,1071.5804878454,0
ATR,D,20090325,000000,6.11804,6.11804,5.99565,5.99565,408.6634146496,0
ATR,D,20090326,000000,6.28118,6.28118,6.28118,6.28118,2.3219512196,0
ATR,D,20090327,000000,6.28118,6.28118,6.19961,6.19961,63.853658539,0
ATR,D,20090330,000000,6.19961,6.19961,6.19961,6.19961,2.3219512196,0
ATR,D,20090331,000000,6.19961,6.19961,6.19961,6.19961,2.3219512196,0
ATR,D,20090401,000000,6.19961,6.19961,5.87334,5.87334,2.3219512196,0
ATR,D,20090402,000000,5.95499,6.28118,5.95499,6.28118,444.6536585534,0
ATR,D,20090403,000000,6.19961,6.28118,5.95499,6.28118,2809.560975716,0
ATR,D,20090406,000000,6.28118,6.42796,6.28118,6.30573,4614.878048955,0
ATR,D,20090407,000000,6.36275,6.44441,6.34647,6.36275,4198.0878050368,0
