<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,D,20190514,000000,20.7241,20.9118,19.3586,19.9072,417336.8985561,0
BBT,D,20190515,000000,20.181,24.9296,20.181,24.9296,356090.48893087,0
BBT,D,20190516,000000,26.1164,27.0295,22.3726,22.8287,379211.25448398,0
BBT,D,20190517,000000,22.8287,23.9249,21.2125,23.1941,161650.78512833,0
BBT,D,20190520,000000,23.5595,23.5595,21.2764,21.3865,53600.742471217,0
BBT,D,20190521,000000,21.4596,22.1895,20.1995,20.9118,66401.53286254,0
BBT,D,20190522,000000,20.6196,20.6196,18.3133,18.8748,179602.374896,0
BBT,D,20190523,000000,18.5372,19.7518,18.2818,19.2217,34732.494178653,0
BBT,D,20190524,000000,19.3586,22.5548,19.1856,22.5548,134386.67980406,0
BBT,D,20190527,000000,22.0988,22.528,20.7334,21.3679,78524.558047365,0
BBT,D,20190528,000000,21.5502,22.3726,21.021,21.1857,38120.239245905,0
BBT,D,20190529,000000,21.441,21.5502,19.9803,20.6371,25253.509974844,0
BBT,D,20190530,000000,19.9072,21.7334,18.811,20.1903,108784.01805618,0
BBT,D,20190531,000000,20.1903,20.6288,19.3956,19.9072,27812.15470177,0
BBT,D,20190603,000000,20.0894,20.4002,19.5418,19.5418,11787.92595992,0
BBT,D,20190604,000000,19.6334,20.354,19.6334,19.8609,15387.540214531,0
BBT,D,20190605,000000,19.8156,20.3633,19.5511,19.9072,11325.272836505,0
BBT,D,20190606,000000,19.7241,19.7241,17.8063,18.8933,77948.403573579,0
BBT,D,20190607,000000,18.7111,19.1763,18.304,18.5372,33968.251752824,0
BBT,D,20190610,000000,18.7111,18.7111,17.8063,18.2633,25519.427424283,0
BBT,D,20190611,000000,17.7156,18.2633,17.3595,17.4418,22686.217525984,0
BBT,D,20190612,000000,17.3595,17.8886,15.7794,16.0718,48129.977383353,0
BBT,D,20190613,000000,16.0718,17.3502,15.8886,15.8886,24261.183883032,0
BBT,D,20190614,000000,16.3641,16.8026,15.7794,16.6546,11666.857852859,0
BBT,D,20190617,000000,16.8932,16.8932,15.9802,16.5278,3031.0265375165,0
BBT,D,20190618,000000,16.8026,16.8026,15.7063,16.0718,8871.4817380164,0
BBT,D,20190619,000000,16.0718,16.0718,14.7933,14.9024,32592.183000236,0
