<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMC,D,20090114,000000,226.845,367.273,172.835,204.053,1651.7069596826,0
BMC,D,20090115,000000,216.043,216.043,174.995,195.951,398.1611721553,0
BMC,D,20090116,000000,183.637,186.877,174.671,186.877,167.0036630012,0
BMC,D,20090119,000000,188.93,188.93,170.674,178.236,87.57509157380001,0
BMC,D,20090120,000000,174.995,174.995,154.687,169.594,32.5860805856,0
BMC,D,20090121,000000,165.489,165.489,157.171,158.36,10.183150183,0
BMC,D,20090122,000000,134.811,172.835,134.811,168.73,83.5018315006,0
BMC,D,20090123,000000,167.649,167.649,162.248,162.248,49.8974358967,0
BMC,D,20090126,000000,168.514,168.514,148.854,148.854,17.3113553111,0
BMC,D,20090127,000000,168.514,168.514,151.662,151.662,4.0732600732,0
BMC,D,20090128,000000,151.554,153.607,143.993,153.607,90.6300366287,0
BMC,D,20090129,000000,162.897,162.897,150.798,151.23,19.3479853477,0
BMC,D,20090130,000000,158.036,161.924,154.795,161.924,27.4945054941,0
BMC,D,20090202,000000,178.452,178.452,170.674,170.674,46.8424908418,0
BMC,D,20090203,000000,178.452,182.124,173.915,173.915,45.8241758235,0
BMC,D,20090204,000000,178.02,181.692,173.591,173.699,811.5970695851,0
BMC,D,20090205,000000,183.205,183.205,162.032,162.032,10.183150183,0
BMC,D,20090206,000000,183.205,183.205,165.273,165.273,9.164835164700001,0
BMC,D,20090209,000000,163.653,163.653,163.113,163.113,11.2014652013,0
BMC,D,20090210,000000,173.915,173.915,162.032,162.032,64.1538461529,0
BMC,D,20090211,000000,162.032,162.032,144.749,144.749,74.3369963359,0
BMC,D,20090212,000000,147.557,147.557,135.027,135.027,40.732600732,0
BMC,D,20090213,000000,131.786,131.786,131.786,131.786,4.0732600732,0
BMC,D,20090216,000000,144.209,144.209,138.052,138.052,57.0256410248,0
BMC,D,20090217,000000,145.829,146.909,145.829,146.909,27.4945054941,0
BMC,D,20090218,000000,144.209,146.045,140.428,140.428,7.1282051281,0
BMC,D,20090219,000000,146.585,146.585,146.585,146.585,3.0549450549,0
BMC,D,20090220,000000,150.15,150.15,150.15,150.15,0,0
BMC,D,20090223,000000,146.585,146.585,120.984,129.086,13.238095237900001,0
BMC,D,20090224,000000,129.626,129.626,126.277,126.277,21.3846153843,0
BMC,D,20090225,000000,123.685,123.685,123.685,123.685,1.0183150183,0
BMC,D,20090226,000000,126.493,126.493,122.28,122.28,74.3369963359,0
BMC,D,20090227,000000,122.064,122.064,116.663,116.663,64.1538461529,0
BMC,D,20090302,000000,126.493,126.493,119.148,119.148,8.1465201464,0
BMC,D,20090303,000000,126.493,126.493,112.667,112.667,70.26373626270001,0
BMC,D,20090304,000000,116.015,116.015,97.2194,103.161,247.4505494469,0
BMC,D,20090305,000000,113.855,113.855,102.621,102.621,50.915750915000004,0
BMC,D,20090306,000000,107.589,107.589,86.4173,86.4173,545.8168498088,0
BMC,D,20090309,000000,96.1392,96.1392,93.8708,93.8708,6.1098901098,0
BMC,D,20090310,000000,91.8183,93.9788,88.5777,91.8183,135.4358974339,0
BMC,D,20090311,000000,100.46,101.54,89.7659,91.3863,571.2747252663,0
BMC,D,20090312,000000,89.6579,110.506,89.6579,101.324,497.9560439487,0
