<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,D,19980317,000000,10.4714,10.4714,10.4714,10.4714,75462.837397986,0
HDR,D,19980318,000000,9.43464,9.43464,9.43464,9.43464,127938.83197766,0
HDR,D,19980319,000000,9.11971,9.11971,9.11971,9.11971,83655.029809868,0
HDR,D,19980320,000000,9.43464,9.43464,9.43464,9.43464,59436.880758502,0
HDR,D,19980323,000000,9.34262,9.34262,9.34262,9.34262,30639.284552688,0
HDR,D,19980324,000000,9.20698,9.20698,9.20698,9.20698,41466.97831957,0
HDR,D,19980325,000000,9.11971,9.11971,9.11971,9.11971,31925.409213928,0
HDR,D,19980326,000000,9.11971,9.11971,9.11971,9.11971,50380.24390218,0
HDR,D,19980327,000000,9.0258,9.0258,9.0258,9.0258,47307.24932225,0
HDR,D,19980330,000000,9.0258,9.0258,9.0258,9.0258,23617.254742426,0
HDR,D,19980331,000000,9.0258,9.0258,9.0258,9.0258,32351.306232896,0
HDR,D,19980401,000000,8.57787,8.57787,8.57787,8.57787,16976.845528368,0
HDR,D,19980402,000000,8.57787,8.57787,8.57787,8.57787,36942.349593306,0
HDR,D,19980406,000000,8.44175,8.44175,8.44175,8.44175,27009.672086582,0
HDR,D,19980407,000000,8.34964,8.34964,8.34964,8.34964,9595.333333284,0
HDR,D,19980408,000000,8.39831,8.39831,8.39831,8.39831,23147.081300694,0
HDR,D,19980409,000000,8.03481,8.03481,8.03481,8.03481,16161.948509402,0
HDR,D,19980414,000000,8.07825,8.07825,8.07825,8.07825,28862.956639418,0
HDR,D,19980415,000000,8.12644,8.12644,8.12644,8.12644,16040.715447072,0
HDR,D,19980416,000000,8.21409,8.21409,8.21409,8.21409,14173.72628719,0
HDR,D,19980417,000000,8.34964,8.34964,8.34964,8.34964,29718.967479522,0
HDR,D,19980420,000000,8.48624,8.48624,8.48624,8.48624,39981.609755892,0
HDR,D,19980421,000000,9.07702,9.07702,9.07702,9.07702,62401.292682606,0
HDR,D,19980422,000000,9.0258,9.0258,9.0258,9.0258,35658.33333315,0
HDR,D,19980423,000000,8.57787,8.57787,8.57787,8.57787,35229.273712556,0
HDR,D,19980424,000000,8.48624,8.48624,8.48624,8.48624,50953.728997028,0
HDR,D,19980427,000000,7.67586,7.67586,7.67586,7.67586,30611.875338596,0
HDR,D,19980428,000000,7.13413,7.13413,7.13413,7.13413,16542.514905064,0
HDR,D,19980429,000000,7.31379,7.31379,7.31379,7.31379,20835.219512088,0
HDR,D,19980430,000000,7.49241,7.49241,7.49241,7.49241,20894.25474244,0
HDR,D,19980504,000000,7.85553,7.85553,7.85553,7.85553,6069.032520294,0
HDR,D,19980505,000000,8.21409,8.21409,8.21409,8.21409,14048.276422692,0
HDR,D,19980506,000000,8.34964,8.34964,8.34964,8.34964,38758.737127172,0
HDR,D,19980507,000000,8.12644,8.12644,8.12644,8.12644,3996.474254722,0
HDR,D,19980508,000000,7.67586,7.67586,7.67586,7.67586,41481.737127158,0
HDR,D,19980511,000000,7.31379,7.31379,7.31379,7.31379,25471.593495804,0
HDR,D,19980512,000000,7.40571,7.40571,7.40571,7.40571,13509.57994573,0
HDR,D,19980513,000000,7.31379,7.31379,7.31379,7.31379,9775.601625966,0
HDR,D,19980514,000000,7.22092,7.22092,7.22092,7.22092,2817.878048766,0
HDR,D,19980515,000000,7.17786,7.17786,7.17786,7.17786,20706.607045964,0
HDR,D,19980518,000000,6.81426,6.81426,6.81426,6.81426,2321.349593484,0
HDR,D,19980519,000000,6.41263,6.41263,6.41263,6.41263,4457.159891576,0
HDR,D,19980520,000000,6.5921,6.5921,6.5921,6.5921,10463.994579892,0
HDR,D,19980521,000000,6.86283,6.86283,6.86283,6.86283,9808.281842768,0
HDR,D,19980522,000000,6.86283,6.86283,6.86283,6.86283,2439.420054188,0
HDR,D,19980525,000000,6.5479,6.5479,6.5479,6.5479,9837.799457944,0
HDR,D,19980526,000000,6.63489,6.63489,6.63489,6.63489,9975.899728946,0
HDR,D,19980527,000000,6.00569,6.00569,6.00569,6.00569,5303.682926802,0
HDR,D,19980528,000000,5.95741,5.95741,5.95741,5.95741,10686.430894254,0
HDR,D,19980529,000000,6.00569,6.00569,6.00569,6.00569,8802.5745257,0
HDR,D,19980601,000000,5.41956,5.41956,5.41956,5.41956,15679.124661166,0
HDR,D,19980602,000000,4.87716,4.87716,4.87716,4.87716,24874.915989032,0
HDR,D,19980603,000000,5.05615,5.05615,5.05615,5.05615,25355.631436184,0
HDR,D,19980604,000000,5.09988,5.09988,5.09988,5.09988,13466.357723508,0
HDR,D,19980605,000000,5.0128,5.0128,5.0128,5.0128,23310.482384704,0
HDR,D,19980608,000000,4.96424,4.96424,4.96424,4.96424,11150.279132734,0
HDR,D,19980609,000000,4.69313,4.69313,4.69313,4.69313,15820.387533794,0
HDR,D,19980610,000000,4.47021,4.47021,4.47021,4.47021,10913.084010784,0
HDR,D,19980615,000000,4.06355,4.06355,4.06355,4.06355,22934.13279121,0
HDR,D,19980616,000000,4.15557,4.15557,4.15557,4.15557,28242.03252018,0
HDR,D,19980617,000000,4.55739,4.55739,4.55739,4.55739,4781.853658512,0
HDR,D,19980618,000000,4.96424,4.96424,4.96424,4.96424,33658.514904976,0
HDR,D,19980619,000000,4.96424,4.96424,4.96424,4.96424,26298.086720732,0
HDR,D,19980622,000000,4.74151,4.74151,4.74151,4.74151,7508.016260124,0
HDR,D,19980623,000000,4.69313,4.69313,4.69313,4.69313,6986.186991834,0
HDR,D,19980624,000000,4.55739,4.55739,4.55739,4.55739,14532.15447147,0
HDR,D,19980625,000000,4.55739,4.55739,4.55739,4.55739,6843.869918664,0
HDR,D,19980626,000000,4.82878,4.82878,4.82878,4.82878,19083.138211284,0
HDR,D,19980629,000000,4.74151,4.74151,4.74151,4.74151,7744.157181532,0
HDR,D,19980630,000000,5.09988,5.09988,5.09988,5.09988,25626.560975478,0
HDR,D,19980701,000000,5.50673,5.50673,5.50673,5.50673,15315.425474176,0
HDR,D,19980702,000000,5.32745,5.32745,5.32745,5.32745,27000.184281704,0
HDR,D,19980703,000000,5.50673,5.50673,5.50673,5.50673,17326.840108312,0
HDR,D,19980706,000000,5.64229,5.64229,5.64229,5.64229,12674.653116466,0
