TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
IFI,D,20080320,000000,2.91156,3.04412,2.84229,2.84229,217070.50644093135,0
IFI,D,20080325,000000,2.72228,2.87393,2.50732,2.52643,49707.44815196831,0
IFI,D,20080326,000000,2.51369,2.58952,2.33695,2.37476,108586.04279756387,0
IFI,D,20080327,000000,2.50732,2.50732,2.38094,2.4314,12093.101959900923,0
IFI,D,20080328,000000,2.45706,2.45706,2.33695,2.42541,12376.07246089109,0
IFI,D,20080331,000000,2.33695,2.45069,2.2423,2.44423,26244.736575357463,0
IFI,D,20080401,000000,2.45069,2.48871,2.33695,2.38741,7348.940849892706,0
IFI,D,20080402,000000,2.40004,2.40651,2.28668,2.34959,10967.439087829607,0
IFI,D,20080403,000000,2.31177,2.31177,2.14757,2.15365,26656.235802072308,0
IFI,D,20080404,000000,2.16647,2.16647,1.98944,2.07801,44407.71125979618,0
IFI,D,20080407,000000,2.05263,2.06546,1.98944,2.05263,23298.941103509816,0
IFI,D,20080408,000000,1.98336,2.39368,1.95789,2.39368,94100.64810402099,0
IFI,D,20080409,000000,2.38741,2.63997,2.33068,2.63997,102886.20842047624,0
IFI,D,20080410,000000,2.65272,2.68417,2.56444,2.60217,12308.698532083568,0
IFI,D,20080411,000000,2.65272,3.02531,2.65272,2.98749,128953.69973697765,0
IFI,D,20080414,000000,2.71591,2.88648,2.71591,2.83603,6190.109274408931,0
IFI,D,20080415,000000,2.84229,2.85474,2.65938,2.66555,1221.0228943827283,0
IFI,D,20080416,000000,2.83603,2.93694,2.66555,2.87393,67604.03668712315,0
IFI,D,20080417,000000,2.84229,2.84229,2.66555,2.67163,5198.157737970657,0
IFI,D,20080418,000000,2.65272,2.67163,2.50106,2.67163,16183.217699488945,0
IFI,D,20080421,000000,2.70347,2.76618,2.70347,2.76618,3866.226991551425,0
IFI,D,20080422,000000,2.70347,2.81056,2.70347,2.81056,1996.3413366563589,0
IFI,D,20080423,000000,2.82965,2.82965,2.82965,2.82965,18.657395669684963,0
IFI,D,20080424,000000,2.65272,2.81056,2.65272,2.81056,798.1219258698663,0
IFI,D,20080425,000000,2.65938,2.72855,2.65938,2.72855,768.0627884020423,0
IFI,D,20080428,000000,2.74755,2.74755,2.54553,2.69062,3226.69292887392,0
IFI,D,20080429,000000,2.69062,2.69062,2.52643,2.52643,21826.043367587004,0
IFI,D,20080430,000000,2.64635,2.77273,2.64635,2.77273,27657.516036345518,0
IFI,D,20080505,000000,2.77273,2.81056,2.65272,2.77273,18351.62168509917,0
IFI,D,20080506,000000,3.08222,3.08222,2.74755,2.90578,1817.023033831047,0
IFI,D,20080507,000000,2.95604,2.95604,2.95604,2.95604,1.0365219816491533,0
IFI,D,20080508,000000,2.68417,2.70983,2.58952,2.60217,11123.953907058885,0
IFI,D,20080509,000000,2.60217,2.69062,2.58952,2.69062,2756.1119492052007,0
IFI,D,20080512,000000,2.69062,2.80448,2.69062,2.80448,110.90785203646325,0
IFI,D,20080513,000000,2.52643,2.72855,2.51986,2.72855,2016.0352543076165,0
IFI,D,20080515,000000,2.46324,2.65272,2.46324,2.65272,12993.839561954053,0
IFI,D,20080516,000000,2.40651,2.49488,2.33695,2.33695,20329.305626085155,0
IFI,D,20080519,000000,2.40004,2.46324,2.33695,2.46324,31810.859616813475,0
IFI,D,20080520,000000,2.45706,2.45706,2.45706,2.45706,16.58435170638686,0
IFI,D,20080521,000000,2.22958,2.45069,2.22958,2.45069,1525.7603569876396,0
IFI,D,20080523,000000,2.45706,2.52643,2.45706,2.50106,1965.2456772068822,0
IFI,D,20080526,000000,2.50732,2.50732,2.44423,2.44423,121.27307185295885,0
IFI,D,20080527,000000,2.33695,2.49488,2.33695,2.49488,463.3253257971815,0
IFI,D,20080529,000000,2.3054,2.49488,2.24867,2.27395,4314.004487623909,0
IFI,D,20080530,000000,2.33695,2.33695,2.11592,2.33068,9153.525619943943,0
IFI,D,20080602,000000,2.2041,2.2041,2.2041,2.2041,1581.7325439966369,0
IFI,D,20080603,000000,2.17911,2.17911,2.09055,2.17274,3160.3555220482954,0
IFI,D,20080604,000000,2.05263,2.16647,2.05263,2.05263,2312.480541059287,0
IFI,D,20080605,000000,2.11592,2.25485,2.11592,2.25485,2261.690963958553,0
IFI,D,20080606,000000,2.21077,2.39368,2.21077,2.39368,339.9792099809276,0
IFI,D,20080609,000000,2.44423,2.44423,2.44423,2.44423,1.0365219816491533,0
IFI,D,20080610,000000,1.95789,1.95789,1.95789,1.95789,97.43306627502305,0
IFI,D,20080611,000000,2.33695,2.33695,2.33695,2.33695,97.43306627502305,0
IFI,D,20080612,000000,2.33068,2.40004,1.97064,2.27395,1460.4594721437084,0
IFI,D,20080613,000000,2.26748,2.26748,2.26748,2.26748,2184.9883373165035,0
IFI,D,20080616,000000,2.27395,2.27395,2.27395,2.27395,2.0730439632983066,0
IFI,D,20080617,000000,2.33068,2.33068,2.33068,2.33068,5.182609908245868,0
IFI,D,20080618,000000,2.40004,2.40004,2.40004,2.40004,1.0365219816491533,0
IFI,D,20080619,000000,2.4314,2.49488,2.4314,2.49488,2.0730439632983066,0
IFI,D,20080620,000000,2.48224,2.48224,2.48224,2.48224,237.36353379766484,0
IFI,D,20080624,000000,2.36878,2.36878,2.33068,2.33068,209.37744029313586,0
IFI,D,20080626,000000,2.36878,2.36878,2.36878,2.36878,14.511307743088754,0
IFI,D,20080627,000000,2.05899,2.25485,1.95789,2.21077,27297.84290871229,0
IFI,D,20080630,000000,2.21077,2.21077,2.21077,2.21077,581.4888317051928,0
IFI,D,20080701,000000,1.95789,2.05263,1.92625,2.02109,5373.329952869298,0
IFI,D,20080702,000000,1.8948,2.02109,1.8507,2.01472,1188.8907129515585,0
IFI,D,20080703,000000,1.8948,1.98944,1.86962,1.97661,18297.722542052747,0
IFI,D,20080707,000000,1.98336,1.98336,1.86325,1.95789,2057.496133573619,0
IFI,D,20080708,000000,1.8948,1.8948,1.8948,1.8948,237.36353379766484,0
IFI,D,20080711,000000,1.8948,1.97661,1.86325,1.95789,3279.5555499380403,0
IFI,D,20080714,000000,1.98944,1.98944,1.98944,1.98944,80.8487145686362,0
IFI,D,20080715,000000,1.80623,1.88236,1.7116,1.88236,3675.5069469279956,0
IFI,D,20080716,000000,1.7116,1.83171,1.7116,1.83171,1784.8908523998773,0
IFI,D,20080717,000000,1.83798,1.97064,1.83798,1.97064,206.2678743481882,0
IFI,D,20080718,000000,1.97064,1.97064,1.97064,1.97064,237.36353379766484,0
IFI,D,20080723,000000,1.8948,1.8948,1.8948,1.8948,1253.1550758138978,0
IFI,D,20080729,000000,1.8128,1.8128,1.80623,1.80623,449.8505400357484,0
IFI,D,20080730,000000,1.80015,1.92625,1.80015,1.92625,365.89225952216145,0
IFI,D,20080805,000000,1.88853,1.88853,1.76852,1.76852,2505.273629646103,0
IFI,D,20080806,000000,1.86325,1.86325,1.80015,1.80015,1258.3376857220596,0
IFI,D,20080807,000000,1.9139,1.9139,1.9139,1.9139,319.24877034794656,0
IFI,D,20080808,000000,1.83171,1.83171,1.70542,1.83171,1123.5898281077284,0
IFI,D,20080811,000000,1.88853,1.88853,1.88853,1.88853,615.694057099617,0
IFI,D,20080813,000000,1.86325,1.95163,1.86325,1.95163,4746.2341539716035,0
IFI,D,20080814,000000,2.05263,2.05263,1.68004,1.8948,1774.5256325833514,0
IFI,D,20080818,000000,1.93291,1.93291,1.93291,1.93291,1.0365219816491533,0
IFI,D,20080819,000000,1.70542,1.8948,1.70542,1.8948,739.0401729158608,0
IFI,D,20080821,000000,1.72413,1.81935,1.72413,1.81935,2184.9883373165035,0
IFI,D,20080822,000000,1.8128,1.8128,1.70542,1.73696,3863.117425606447,0
IFI,D,20080825,000000,1.88853,1.88853,1.88853,1.88853,1.0365219816491533,0
IFI,D,20080826,000000,1.8948,1.9139,1.8948,1.9139,290.22615486176494,0
IFI,D,20080828,000000,1.83171,1.90125,1.66103,1.90125,1981.8300289132633,0
IFI,D,20080901,000000,1.86325,1.86325,1.69306,1.70542,7987.43839058862,0
IFI,D,20080902,000000,1.70542,1.73696,1.67377,1.73696,2867.0198012416035,0
IFI,D,20080904,000000,1.73041,1.73041,1.73041,1.73041,564.9044799988018,0
IFI,D,20080908,000000,1.72413,1.72413,1.72413,1.72413,574.2331778336447,0
IFI,D,20080909,000000,1.72413,1.73041,1.72413,1.73041,384.5496551918475,0
IFI,D,20080910,000000,1.72413,1.73041,1.72413,1.73041,225.96179199951666,0
IFI,D,20080916,000000,1.70542,1.70542,1.29482,1.63586,5716.418728795234,0
IFI,D,20080917,000000,1.57884,1.57884,1.57884,1.57884,1170.2333172818926,0
IFI,D,20080918,000000,1.45246,1.52839,1.45246,1.52839,986.7689265300212,0
IFI,D,20080919,000000,1.51603,1.51603,1.51603,1.51603,316.13920440299887,0
IFI,D,20080922,000000,1.51603,1.51603,1.51603,1.51603,158.58786319232067,0
IFI,D,20080924,000000,1.49703,1.49703,1.48429,1.48429,1584.8421099416148,0
IFI,D,20080925,000000,1.49046,1.62939,1.49046,1.62939,179.31830282531183,0
IFI,D,20080926,000000,1.63586,1.73696,1.57884,1.69306,8314.979336789665,0
