<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK,D,19990428,000000,2.84326,2.84326,2.84326,2.84326,211426.88524753,0
INK,D,19990429,000000,2.55571,2.55571,2.55571,2.55571,62685.573770974,0
INK,D,19990430,000000,2.55571,2.55571,2.55571,2.55571,47163.3606561,0
INK,D,19990504,000000,2.81126,2.81126,2.81126,2.81126,28092.786885462,0
INK,D,19990505,000000,3.06699,3.06699,3.06699,3.06699,74019.016394012,0
INK,D,19990506,000000,3.28415,3.28415,3.28415,3.28415,99540.573771257,0
INK,D,19990507,000000,3.15623,3.15623,3.15623,3.15623,32588.442623201,0
INK,D,19990510,000000,3.00308,3.00308,3.00308,3.00308,27012.295082175,0
INK,D,19990511,000000,2.90717,2.90717,2.90717,2.90717,17168.524590296,0
INK,D,19990512,000000,3.03498,3.03498,3.03498,3.03498,7033.8524590705,0
INK,D,19990513,000000,2.97108,2.97108,2.97108,2.97108,7593.278688583,0
INK,D,19990514,000000,2.97108,2.97108,2.97108,2.97108,3018.7704918265,0
INK,D,19990517,000000,2.84326,2.84326,2.84326,2.84326,7476.065573828,0
INK,D,19990518,000000,2.93907,2.93907,2.93907,2.93907,13332.459016496,0
INK,D,19990519,000000,3.03498,3.03498,3.03498,3.03498,15003.27868864,0
INK,D,19990520,000000,3.03498,3.03498,3.03498,3.03498,3969.2622951125,0
INK,D,19990521,000000,2.97108,2.97108,2.97108,2.97108,29284.098360881,0
INK,D,19990524,000000,3.03498,3.03498,3.03498,3.03498,11221.557377135,0
INK,D,19990525,000000,2.97108,2.97108,2.97108,2.97108,10712.213114836,0
INK,D,19990526,000000,2.90717,2.90717,2.90717,2.90717,10785.737705001,0
INK,D,19990527,000000,2.97108,2.97108,2.97108,2.97108,15983.6065575,0
INK,D,19990528,000000,2.90717,2.90717,2.90717,2.90717,8850.655737773,0
INK,D,19990531,000000,2.93907,2.93907,2.93907,2.93907,6665.1639344775,0
INK,D,19990601,000000,2.97108,2.97108,2.97108,2.97108,5178.68852463,0
INK,D,19990602,000000,2.87545,2.87545,2.87545,2.87545,3940.491803309,0
