<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2H,D,20080424,000000,11.9338,11.9384,10.7924,11.2214,6977.654545034192,0
K2H,D,20080425,000000,11.4619,11.4619,10.7686,11.3853,2360.26181803963,0
K2H,D,20080428,000000,11.4136,11.4136,11.4136,11.4136,43.07999999740474,0
K2H,D,20080429,000000,11.4091,11.4091,10.9839,11.4037,347.25090906998975,0
K2H,D,20080505,000000,11.3654,11.3654,11.3654,11.3654,6.527272726879506,0
K2H,D,20080506,000000,11.3654,11.3654,11.3509,11.3509,147.51636362747686,0
K2H,D,20080507,000000,11.3569,11.3569,10.9839,11.3424,151.43272726360456,0
K2H,D,20080508,000000,11.3424,11.3424,11.3424,11.3424,2.6109090907518024,0
K2H,D,20080509,000000,11.3424,11.3424,11.3424,11.3424,2.6109090907518024,0
K2H,D,20080512,000000,11.3424,11.3424,11.3424,11.3424,2.6109090907518024,0
K2H,D,20080513,000000,11.3424,11.3424,11.3424,11.3424,216.7054545323996,0
K2H,D,20080514,000000,11.3424,11.3424,10.9839,11.3424,422.967272701792,0
K2H,D,20080515,000000,11.3424,11.3424,11.3424,11.3424,262.39636362055614,0
K2H,D,20080516,000000,10.9839,11.3424,10.9839,11.3424,379.88727270438727,0
K2H,D,20080519,000000,11.3424,11.3424,11.3424,11.3424,1.3054545453759012,0
K2H,D,20080520,000000,11.3424,11.3424,11.3424,11.3424,1.3054545453759012,0
K2H,D,20080521,000000,11.3324,11.3324,11.3324,11.3324,3.916363636127704,0
K2H,D,20080523,000000,11.3424,11.3424,11.3424,11.3424,1.3054545453759012,0
K2H,D,20080526,000000,11.3424,11.3424,11.3126,11.3186,244.11999998529356,0
K2H,D,20080527,000000,11.3186,11.3186,11.3186,11.3186,56.13454545116375,0
K2H,D,20080528,000000,11.3186,11.3186,10.555,11.3186,180.1527272618744,0
K2H,D,20080529,000000,11.3186,11.3186,10.7449,11.2712,310.6981817994645,0
K2H,D,20080530,000000,11.3186,11.3186,11.3186,11.3186,1.3054545453759012,0
K2H,D,20080602,000000,11.3186,11.3424,11.3186,11.3424,83.54909090405768,0
K2H,D,20080603,000000,11.3424,11.3424,11.3424,11.3424,3.916363636127704,0
K2H,D,20080604,000000,11.3424,11.3424,10.7924,11.3424,214.0945454416478,0
K2H,D,20080605,000000,11.3424,11.3424,11.3424,11.3424,1.3054545453759012,0
K2H,D,20080606,000000,11.3424,11.3424,10.7449,10.7449,280.67272725581876,0
K2H,D,20080609,000000,10.7924,11.1747,10.7924,11.1747,211.483636350896,0
K2H,D,20080610,000000,11.1747,11.1747,10.7924,10.9839,886.4036363102371,0
K2H,D,20080611,000000,10.5059,10.6974,10.1252,10.5059,3848.479999768157,0
K2H,D,20080612,000000,10.7449,11.3654,10.7449,10.7924,966.036363578167,0
K2H,D,20080613,000000,10.9801,10.9801,10.9801,10.9801,1.3054545453759012,0
K2H,D,20080616,000000,10.9801,10.9801,10.9801,10.9801,2.6109090907518024,0
K2H,D,20080617,000000,10.9801,10.9801,10.9801,10.9801,2.6109090907518024,0
K2H,D,20080618,000000,10.9801,10.9801,10.0279,10.974,6283.152726894213,0
K2H,D,20080619,000000,10.0333,10.974,10.0333,10.974,1490.8290908192791,0
K2H,D,20080620,000000,10.974,10.974,10.974,10.974,2.6109090907518024,0
K2H,D,20080623,000000,10.9693,10.9693,10.9693,10.9693,1.3054545453759012,0
K2H,D,20080624,000000,10.9602,10.9602,10.1252,10.5059,186.67999998875388,0
K2H,D,20080625,000000,10.7449,10.7449,10.7449,10.7449,22.19272727139032,0
K2H,D,20080626,000000,10.7449,10.7449,10.7449,10.7449,1.3054545453759012,0
K2H,D,20080627,000000,10.5059,10.7449,10.0279,10.7449,609.6472726905458,0
K2H,D,20080630,000000,10.7449,10.7449,9.74143,9.88471,3371.989090705953,0
K2H,D,20080701,000000,10.2195,10.2195,9.64644,10.1719,87.46545454018539,0
K2H,D,20080704,000000,9.69473,9.88471,9.55219,9.88471,441.2436363370546,0
K2H,D,20080708,000000,9.55219,9.55219,8.98691,9.52619,986.9236363041814,0
K2H,D,20080709,000000,9.47948,9.47948,9.07347,9.47948,211.483636350896,0
K2H,D,20080710,000000,9.52619,9.52619,9.504,9.504,340.72363634311023,0
K2H,D,20080711,000000,9.7652,9.7652,9.7652,9.7652,1.3054545453759012,0
K2H,D,20080714,000000,9.7652,9.7652,9.7652,9.7652,1.3054545453759012,0
K2H,D,20080715,000000,8.98691,10.0241,8.98691,10.0241,147.51636362747686,0
K2H,D,20080716,000000,10.0241,10.0241,9.00223,9.504,613.5636363266736,0
K2H,D,20080717,000000,9.504,9.504,8.54721,9.39363,1344.6181817371785,0
K2H,D,20080721,000000,9.21748,9.21748,9.21748,9.21748,1.3054545453759012,0
K2H,D,20080722,000000,9.31247,9.31247,9.31247,9.31247,1.3054545453759012,0
K2H,D,20080723,000000,9.3071,9.3071,9.3071,9.3071,1.3054545453759012,0
K2H,D,20080724,000000,9.3025,9.3025,9.3025,9.3025,22.19272727139032,0
K2H,D,20080725,000000,9.28872,9.28872,9.28872,9.28872,1.3054545453759012,0
K2H,D,20080728,000000,9.27417,9.27417,8.50048,9.06351,1618.7636362661174,0
K2H,D,20080730,000000,9.02138,9.21748,8.19026,9.21748,3254.498181622122,0
K2H,D,20080731,000000,9.26344,9.26344,9.25961,9.25961,43.07999999740474,0
K2H,D,20080801,000000,9.26344,9.26344,9.26344,9.26344,1.3054545453759012,0
K2H,D,20080804,000000,9.26344,9.26344,9.23969,9.23969,146.21090908210095,0
K2H,D,20080805,000000,9.15926,9.15926,8.35724,9.06964,285.8945454373224,0
K2H,D,20080806,000000,9.06964,9.06964,8.59624,9.06351,297.6436363457055,0
K2H,D,20080807,000000,9.15926,9.15926,9.12096,9.12096,18.27636363526262,0
K2H,D,20080808,000000,9.11636,9.11636,9.11636,9.11636,1.3054545453759012,0
K2H,D,20080811,000000,9.15467,9.15467,9.15467,9.15467,1.3054545453759012,0
K2H,D,20080812,000000,9.14547,9.14547,9.14547,9.14547,1.3054545453759012,0
K2H,D,20080813,000000,9.14088,9.14088,9.14088,9.14088,1.3054545453759012,0
K2H,D,20080814,000000,9.14547,9.14547,9.14547,9.14547,1.3054545453759012,0
K2H,D,20080818,000000,9.13552,9.13552,9.13552,9.13552,1.3054545453759012,0
K2H,D,20080819,000000,9.14088,9.14088,9.14088,9.14088,1.3054545453759012,0
K2H,D,20080820,000000,9.13552,9.13552,9.13552,9.13552,22.19272727139032,0
K2H,D,20080821,000000,9.12633,9.14088,9.11636,9.14088,673.6145454139651,0
K2H,D,20080822,000000,9.11177,9.11177,9.11177,9.11177,1.3054545453759012,0
K2H,D,20080825,000000,9.11177,9.11177,9.11177,9.11177,1.3054545453759012,0
K2H,D,20080826,000000,8.64833,9.11177,8.64833,9.11177,860.294545402719,0
K2H,D,20080827,000000,9.11177,9.11177,9.11177,9.11177,1.3054545453759012,0
K2H,D,20080828,000000,9.11177,9.11177,9.11177,9.11177,1.3054545453759012,0
K2H,D,20080829,000000,9.11177,9.11177,9.11177,9.11177,1.3054545453759012,0
K2H,D,20080901,000000,9.07347,9.07347,9.07347,9.07347,1.3054545453759012,0
K2H,D,20080902,000000,9.06351,9.06351,9.06351,9.06351,1.3054545453759012,0
K2H,D,20080903,000000,9.06964,9.06964,9.06964,9.06964,1.3054545453759012,0
K2H,D,20080904,000000,9.06964,9.06964,9.06964,9.06964,1.3054545453759012,0
K2H,D,20080905,000000,9.06964,9.06964,9.06964,9.06964,104.4363636300721,0
K2H,D,20080908,000000,9.06964,9.06964,9.06964,9.06964,1.3054545453759012,0
K2H,D,20080909,000000,9.06964,9.06964,9.06964,9.06964,1.3054545453759012,0
K2H,D,20080910,000000,9.02521,9.02521,9.02521,9.02521,1.3054545453759012,0
K2H,D,20080911,000000,9.01678,9.01678,9.01678,9.01678,1.3054545453759012,0
K2H,D,20080912,000000,9.01678,9.01678,9.01678,9.01678,1.3054545453759012,0
K2H,D,20080915,000000,9.00223,9.00223,9.00223,9.00223,1.3054545453759012,0
K2H,D,20080916,000000,8.99686,8.99686,7.64026,8.49512,1869.4109089782908,0
K2H,D,20080917,000000,8.49512,8.49512,8.49512,8.49512,1.3054545453759012,0
K2H,D,20080918,000000,8.48593,8.48593,8.46219,8.46831,168.40363635349127,0
K2H,D,20080919,000000,8.48134,8.48134,8.48134,8.48134,1.3054545453759012,0
K2H,D,20080922,000000,8.4484,8.4484,8.4484,8.4484,1.3054545453759012,0
K2H,D,20080923,000000,8.43308,8.43308,8.43308,8.43308,1.3054545453759012,0
K2H,D,20080924,000000,7.63565,7.64026,7.63565,7.64026,1928.156363520206,0
K2H,D,20080925,000000,7.64026,7.64026,7.54526,7.63565,323.7527272532235,0
K2H,D,20080926,000000,7.63565,7.63565,7.25977,7.63565,345.9454545246138,0
K2H,D,20080929,000000,7.63565,7.63565,7.16348,7.63565,424.2727272471679,0
K2H,D,20080930,000000,7.63565,7.64026,7.497,7.64026,1148.799999930793,0
K2H,D,20081001,000000,7.63565,7.63565,7.63565,7.63565,43.07999999740474,0
K2H,D,20081002,000000,7.25977,7.58893,6.92426,7.497,7867.974544980557,0
K2H,D,20081003,000000,7.54067,7.54067,7.54067,7.54067,1.3054545453759012,0
K2H,D,20081006,000000,7.44491,7.54067,7.44491,7.54067,2093.949090782946,0
K2H,D,20081008,000000,7.54067,7.54067,7.54067,7.54067,1.3054545453759012,0
K2H,D,20081009,000000,7.53684,7.53684,7.53684,7.53684,1.3054545453759012,0
K2H,D,20081010,000000,7.53684,7.53684,6.92426,7.53684,214.0945454416478,0
K2H,D,20081013,000000,7.53684,7.53684,7.53684,7.53684,1.3054545453759012,0
K2H,D,20081014,000000,7.52228,7.52228,7.52228,7.52228,1.3054545453759012,0
K2H,D,20081015,000000,7.52228,7.52228,6.82957,7.52228,775.4399999532855,0
K2H,D,20081016,000000,7.52228,7.52228,7.52228,7.52228,1.3054545453759012,0
K2H,D,20081017,000000,7.52228,7.52228,7.52228,7.52228,1.3054545453759012,0
K2H,D,20081020,000000,7.52228,7.52228,7.52228,7.52228,1.3054545453759012,0
K2H,D,20081021,000000,7.52228,7.52228,7.16348,7.39743,1788.472727164985,0
K2H,D,20081022,000000,7.39743,7.39743,7.39743,7.39743,1.3054545453759012,0
K2H,D,20081023,000000,7.39743,7.39743,7.39743,7.39743,1.3054545453759012,0
K2H,D,20081024,000000,7.30627,7.30627,7.30627,7.30627,1.3054545453759012,0
K2H,D,20081027,000000,7.30627,7.30627,7.30627,7.30627,1.3054545453759012,0
K2H,D,20081028,000000,7.30627,7.30627,7.30627,7.30627,1.3054545453759012,0
K2H,D,20081029,000000,7.30627,7.30627,7.30627,7.30627,1.3054545453759012,0
K2H,D,20081030,000000,6.92426,6.92426,6.49505,6.49505,1140.9672726585377,0
K2H,D,20081031,000000,6.59043,6.59043,6.59043,6.59043,421.6618181564161,0
K2H,D,20081103,000000,6.82957,6.82957,6.73359,6.73359,23.498181816766223,0
K2H,D,20081104,000000,6.82957,6.82957,6.82957,6.82957,1.3054545453759012,0
K2H,D,20081105,000000,6.8046,6.8046,6.8046,6.8046,31.33090908902163,0
K2H,D,20081106,000000,6.82957,6.82957,6.82957,6.82957,1.3054545453759012,0
K2H,D,20081107,000000,6.71,6.71,6.71,6.71,6.527272726879506,0
K2H,D,20081110,000000,6.78162,6.78162,6.78162,6.78162,1.3054545453759012,0
K2H,D,20081112,000000,6.68557,6.68557,6.68557,6.68557,1.3054545453759012,0
K2H,D,20081113,000000,6.68557,6.68557,6.68557,6.68557,1.3054545453759012,0
K2H,D,20081114,000000,6.68557,6.68557,6.68557,6.68557,1.3054545453759012,0
K2H,D,20081117,000000,6.68557,6.68557,6.54217,6.59043,24.803636362142125,0
K2H,D,20081118,000000,6.68143,6.68143,6.6383,6.6383,2.6109090907518024,0
