<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR,D,20070719,000000,16.9187,21.4194,16.9187,20.1592,3476835.5335655,0
MCR,D,20070720,000000,20.1592,20.1592,18.7191,18.7191,384286.940708,0
MCR,D,20070723,000000,18.1789,19.0787,18.0543,18.3596,100662.60078961,0
MCR,D,20070724,000000,18.3406,19.0606,17.9982,18.7191,94316.450592034,0
MCR,D,20070725,000000,18.898,18.898,17.8184,17.9982,276962.77470106,0
MCR,D,20070726,000000,18.1789,18.1789,17.4931,17.6434,37522.822134049,0
MCR,D,20070727,000000,17.6387,17.6387,16.6314,17.6387,47403.72331973,0
MCR,D,20070730,000000,17.2791,17.4228,16.9187,17.2791,11511.596837841,0
MCR,D,20070731,000000,17.2791,18.5384,17.2791,18.215,217360.90118381,0
MCR,D,20070801,000000,18.215,18.215,16.99,17.9097,23655.075098601,0
MCR,D,20070802,000000,17.9982,18.1076,17.6748,17.6748,246606.18181596,0
MCR,D,20070803,000000,17.963,17.9811,17.6387,17.6387,3613.6047430504,0
MCR,D,20070806,000000,17.2791,17.2791,16.5591,16.5591,16875.754940559,0
MCR,D,20070807,000000,16.9187,17.4228,16.5591,17.1346,182372.96442523,0
MCR,D,20070808,000000,17.2791,17.5673,17.1707,17.2069,4233.9209485784,0
MCR,D,20070809,000000,17.4228,17.4228,17.0632,17.0804,17089.185770597,0
MCR,D,20070810,000000,16.4517,16.9558,15.6603,16.5591,28371.581027412,0
MCR,D,20070813,000000,16.5591,17.2791,16.5591,17.243,3214.0790513544,0
MCR,D,20070814,000000,17.3153,17.3153,16.6837,16.6837,926.2687746952,0
MCR,D,20070816,000000,15.6375,15.7307,14.0776,14.3991,46662.498023294,0
MCR,D,20070817,000000,14.3991,14.8309,14.0386,14.3991,33455.019762544,0
MCR,D,20070820,000000,15.4787,15.4787,14.3991,14.3991,10339.304347733,0
MCR,D,20070821,000000,14.7606,14.7606,13.6011,14.0386,6211.5731224736,0
MCR,D,20070822,000000,14.0386,15.8391,14.0386,15.4787,75563.976283903,0
MCR,D,20070823,000000,16.7389,16.7389,16.0902,16.0902,196408.93280455,0
MCR,D,20070824,000000,16.7389,16.7389,16.4859,16.522,3456.9486165696,0
MCR,D,20070827,000000,16.4859,17.2069,16.1996,16.5591,7640.4031619864,0
MCR,D,20070828,000000,16.9187,16.9187,15.8391,16.4859,1378.3636363512,0
MCR,D,20070829,000000,15.4787,16.1958,15.4787,16.0902,22071.691699406,0
MCR,D,20070830,000000,16.1996,16.2424,16.1996,16.2348,15970.513833848,0
MCR,D,20070831,000000,15.8753,16.3784,15.8753,16.2396,1662.2371541352,0
MCR,D,20070903,000000,16.5591,16.7389,16.4517,16.7389,6287.272727216,0
MCR,D,20070904,000000,16.775,16.775,16.5591,16.7389,5452.4743082512,0
MCR,D,20070905,000000,16.4517,16.7037,16.4517,16.7037,7348.1185770088,0
MCR,D,20070906,000000,16.7389,16.8825,16.1996,16.8825,137259.15414896,0
MCR,D,20070907,000000,16.9187,16.9187,15.6603,16.9187,6933.873517724,0
MCR,D,20070910,000000,15.5186,16.7389,15.5186,16.7389,4668.142292448,0
MCR,D,20070911,000000,16.8473,16.8473,16.8473,16.8473,1639.1067193528,0
MCR,D,20070912,000000,16.2025,16.6999,16.1996,16.6999,139.8339920936,0
MCR,D,20070913,000000,16.8074,16.8074,16.3756,16.7322,1721.1146244904,0
MCR,D,20070914,000000,16.5591,16.5591,15.9105,16.3784,1080.8221343776,0
MCR,D,20070917,000000,16.1996,16.5563,16.1996,16.5563,474.1739130392,0
MCR,D,20070918,000000,16.2719,16.7037,16.2719,16.7037,1496.1185770616,0
MCR,D,20070919,000000,16.7037,16.7322,16.037,16.3784,5410.4189722832,0
MCR,D,20070920,000000,16.0902,16.3394,15.8753,16.3252,784.3320158032,0
MCR,D,20070921,000000,16.1996,16.5943,16.1996,16.5591,5333.6679841416,0
MCR,D,20070924,000000,16.5591,17.0994,16.5591,16.6314,15222.980237017,0
MCR,D,20070925,000000,16.7389,16.7389,16.6314,16.7341,1716.9090908936,0
MCR,D,20070926,000000,16.7341,16.9187,16.5943,16.7389,2821.9130434528,0
MCR,D,20070927,000000,16.9149,16.9187,16.6314,16.6314,2275.1936758688,0
MCR,D,20070928,000000,16.7389,16.99,16.7389,16.8112,149562.4426864,0
MCR,D,20071001,000000,16.7389,17.0632,16.7389,16.9187,4299.1067193288,0
MCR,D,20071002,000000,16.775,16.775,16.775,16.775,888.418972324,0
MCR,D,20071003,000000,16.2538,16.7389,16.2538,16.4146,628.7272727216,0
MCR,D,20071004,000000,16.5591,16.5591,16.1378,16.1378,2258.3715414816,0
MCR,D,20071005,000000,15.8781,16.5591,15.8753,16.5591,9281.6126481376,0
MCR,D,20071008,000000,15.8924,15.8924,15.8924,15.8924,39.9525691696,0
MCR,D,20071009,000000,16.7037,16.7037,16.1996,16.2719,99779.438734278,0
MCR,D,20071010,000000,15.9818,16.2719,15.9105,16.2671,2502.292490096,0
MCR,D,20071011,000000,16.0189,16.7037,16.0189,16.6999,5690.0869564704,0
