<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT,D,20070412,000000,15.3603,15.4648,12.9044,13.1889,2973195.7451496,0
NTT,D,20070413,000000,13.7065,14.1449,13.1889,13.215,699732.18748996,0
NTT,D,20070416,000000,13.4211,13.4211,12.9557,13.0592,189238.01442036,0
NTT,D,20070417,000000,13.0592,13.0592,12.647,12.7234,147913.32692095,0
NTT,D,20070418,000000,12.619,12.619,11.9222,12.1825,255043.38461172,0
NTT,D,20070419,000000,11.8961,12.258,11.7665,12.1545,81456.110575754,0
NTT,D,20070420,000000,12.1293,12.3877,11.8709,11.8961,83592.836537262,0
NTT,D,20070423,000000,12.1022,12.1022,11.1984,11.302,154493.97115163,0
NTT,D,20070424,000000,11.2497,11.3281,10.7843,11.1471,98382.668267819,0
NTT,D,20070425,000000,11.2497,11.5603,11.0949,11.5081,42951.086537845,0
NTT,D,20070426,000000,11.5081,12.3877,11.5081,12.2048,147231.46153635,0
NTT,D,20070427,000000,12.4138,12.647,11.9222,12.2048,59488.4663453,0
NTT,D,20070430,000000,12.2319,12.3877,11.9735,12.1022,29329.860576502,0
NTT,D,20070502,000000,12.1545,12.3093,12.05,12.3093,20419.509615092,0
NTT,D,20070504,000000,12.3093,12.3093,12.1022,12.2319,17336.105768982,0
NTT,D,20070507,000000,12.2841,12.2841,11.9222,12.05,26122.091345779,0
NTT,D,20070508,000000,11.9474,12.05,11.5855,11.6377,42121.269230165,0
NTT,D,20070509,000000,11.6377,11.8439,11.5855,11.8439,28310.278845748,0
NTT,D,20070510,000000,11.8961,11.8961,11.5855,11.5855,25910.884615013,0
NTT,D,20070511,000000,11.3523,11.5081,11.1191,11.482,33123.004807217,0
NTT,D,20070514,000000,11.6629,12.0258,11.4568,11.8961,57545.793268405,0
NTT,D,20070515,000000,11.9222,11.9222,11.6629,11.7665,31149.240384168,0
NTT,D,20070516,000000,11.7403,11.7403,11.5081,11.6377,41394.374999406,0
NTT,D,20070517,000000,11.6377,11.6629,11.3281,11.3784,38254.149037913,0
NTT,D,20070518,000000,11.2749,11.3784,11.1191,11.3784,29511.0480765,0
NTT,D,20070521,000000,11.5603,11.5603,11.1984,11.2497,37213.124999466,0
NTT,D,20070522,000000,11.3784,11.3784,11.1471,11.3281,26074.918268857,0
NTT,D,20070523,000000,11.3784,12.1022,11.3784,11.7665,89320.076921795,0
NTT,D,20070524,000000,11.8709,12.0258,11.3784,11.8961,55930.115383813,0
NTT,D,20070525,000000,11.6377,12.1825,11.6116,12.1293,78567.831729642,0
NTT,D,20070528,000000,12.7999,13.1889,12.6721,12.8279,138110.97595956,0
NTT,D,20070529,000000,12.8792,13.5769,12.619,13.3698,278844.34614984,0
NTT,D,20070530,000000,13.3176,13.8362,12.9305,13.1889,135306.32211344,0
NTT,D,20070531,000000,13.3176,13.7065,13.2672,13.395,70991.192306674,0
NTT,D,20070601,000000,13.4472,13.4472,12.7234,12.9305,40601.009614802,0
NTT,D,20070604,000000,12.8531,12.9044,12.5434,12.5947,47807.769230083,0
NTT,D,20070605,000000,12.5947,12.7999,12.2048,12.3354,32823.884614914,0
NTT,D,20070606,000000,12.2841,12.6721,12.2841,12.5947,40406.956730189,0
NTT,D,20070608,000000,12.5947,12.5947,12.3093,12.4921,16298.298076689,0
NTT,D,20070611,000000,12.6721,12.8531,12.5164,12.6721,34075.043268742,0
NTT,D,20070612,000000,12.6721,12.6721,12.4651,12.5686,23214.514422744,0
NTT,D,20070613,000000,12.5434,12.5947,12.3877,12.5434,18938.918268959,0
NTT,D,20070614,000000,12.647,12.7999,12.5434,12.7757,41780.336537862,0
NTT,D,20070615,000000,12.6721,12.7757,12.439,12.7757,38554.341345601,0
NTT,D,20070618,000000,12.7234,12.7757,12.5434,12.6721,19690.471153564,0
NTT,D,20070619,000000,12.6721,12.7757,12.4921,12.7486,33667.639422594,0
NTT,D,20070620,000000,12.7757,13.7065,12.7757,13.4472,221373.60095836,0
NTT,D,20070621,000000,13.1889,13.5769,13.1889,13.3176,47965.370191619,0
NTT,D,20070622,000000,13.4211,13.5004,13.215,13.4211,54305.860576144,0
NTT,D,20070625,000000,13.395,13.5004,12.9557,13.4211,50235.038460818,0
NTT,D,20070626,000000,13.3176,13.5498,13.3176,13.4472,37481.153845616,0
NTT,D,20070627,000000,13.3698,14.1449,13.3698,13.8362,200803.99518943,0
NTT,D,20070628,000000,14.0675,14.1449,13.7065,13.9127,60270.038460674,0
NTT,D,20070629,000000,13.9649,13.9649,13.3698,13.5769,23580.105768892,0
NTT,D,20070702,000000,13.2411,13.5256,12.9305,13.4211,30178.975961105,0
NTT,D,20070703,000000,13.4472,13.5004,13.0592,13.1889,42211.326922471,0
NTT,D,20070704,000000,13.0592,13.395,13.0592,13.3446,30735.403845713,0
NTT,D,20070705,000000,13.3176,13.4211,13.1889,13.3176,20024.971153559,0
NTT,D,20070706,000000,13.3176,13.4211,13.215,13.215,15711.850961313,0
NTT,D,20070709,000000,13.3176,13.5256,13.3176,13.4724,27271.39903807,0
NTT,D,20070710,000000,13.4724,13.5769,13.2411,13.3698,18669.817307424,0
NTT,D,20070711,000000,13.2672,13.3698,13.1889,13.2672,29990.283653416,0
NTT,D,20070712,000000,13.395,13.395,13.1115,13.2672,16959.793268987,0
NTT,D,20070713,000000,13.4211,13.4211,13.1385,13.2411,13430.389422884,0
NTT,D,20070716,000000,13.2924,13.3176,12.6721,13.0592,38342.06249945,0
NTT,D,20070717,000000,13.0592,13.2924,12.7234,13.2924,24501.052884264,0
NTT,D,20070718,000000,13.2924,13.2924,13.0853,13.1889,6828.3028845174,0
NTT,D,20070719,000000,13.9649,13.9649,13.3176,13.3176,14654.745192097,0
NTT,D,20070720,000000,13.4472,13.4472,13.2411,13.3176,10813.355769076,0
NTT,D,20070723,000000,13.395,13.4472,13.1889,13.2411,16892.249999758,0
NTT,D,20070724,000000,13.2411,13.3176,13.0853,13.215,16237.187499767,0
NTT,D,20070725,000000,12.9557,13.1385,12.5434,13.007,21653.514422766,0
NTT,D,20070726,000000,13.007,13.007,12.4651,12.6721,14510.009615176,0
NTT,D,20070727,000000,12.2841,12.7486,12.1825,12.6721,21927.975961224,0
NTT,D,20070730,000000,12.8531,12.9305,12.1545,12.6721,6658.9086537506,0
NTT,D,20070731,000000,12.7234,13.035,12.4651,12.9044,10558.192307541,0
NTT,D,20070801,000000,12.8792,12.8792,12.4138,12.647,8090.1826921916,0
NTT,D,20070802,000000,12.8531,12.8531,12.1825,12.4651,14223.754807488,0
NTT,D,20070803,000000,12.6721,12.6721,11.6377,11.9222,24291.990384267,0
NTT,D,20070806,000000,11.8961,11.8961,11.2749,11.5081,7688.1394229666,0
NTT,D,20070807,000000,12.258,12.258,11.8187,11.8961,3816.730769176,0
NTT,D,20070808,000000,12.1545,12.258,11.9474,12.1545,19699.04807664,0
NTT,D,20070809,000000,12.2841,12.3877,11.3784,11.7152,31335.788461089,0
NTT,D,20070810,000000,11.3784,11.6377,10.8608,11.2236,19160.846153571,0
NTT,D,20070813,000000,10.8608,11.1191,10.5259,10.7582,42982.177883999,0
NTT,D,20070814,000000,10.7582,11.5855,10.1379,11.3281,53481.403845386,0
NTT,D,20070816,000000,11.0688,11.0688,9.85342,10.3692,45654.961537806,0
NTT,D,20070817,000000,10.345,10.8365,10.345,10.6033,48809.1249993,0
NTT,D,20070820,000000,11.1471,11.3281,10.6285,10.9914,10275.153846006,0
NTT,D,20070821,000000,10.7321,11.0688,10.4737,10.9914,4819.158653777,0
NTT,D,20070822,000000,11.0949,11.3784,10.7321,11.0688,15723.644230544,0
NTT,D,20070823,000000,11.3784,11.3784,10.9914,11.1714,9845.2355767818,0
NTT,D,20070824,000000,10.9652,11.0949,10.6546,11.0688,10216.187499853,0
NTT,D,20070827,000000,10.9914,11.2236,10.8869,11.0688,10741.524038307,0
NTT,D,20070828,000000,11.0688,11.0688,10.7582,10.8608,8376.4374998798,0
NTT,D,20070829,000000,10.345,10.7321,10.2424,10.7321,21233.245192003,0
NTT,D,20070830,000000,10.9914,11.1471,10.6033,10.6033,15437.389422855,0
NTT,D,20070831,000000,11.0427,11.0427,10.7843,10.8095,4620.817307626,0
NTT,D,20070903,000000,11.0949,11.0949,10.8095,10.9652,15834.072115157,0
NTT,D,20070904,000000,10.9652,11.0427,10.8608,10.8608,13393.937499808,0
NTT,D,20070905,000000,10.8608,11.0427,10.4989,10.7321,9229.8413460214,0
NTT,D,20070906,000000,10.8095,10.8095,10.4215,10.5511,13418.596153654,0
NTT,D,20070907,000000,10.5511,10.7321,10.0866,10.3963,15019.264422861,0
NTT,D,20070910,000000,10.0866,10.3179,9.87953,10.2424,8951.0913460254,0
NTT,D,20070911,000000,10.3963,10.3963,9.80118,10.1892,14898.115384402,0
NTT,D,20070912,000000,10.1892,10.3963,9.93083,10.1631,3882.1298076366,0
NTT,D,20070913,000000,10.2657,10.2657,9.95509,10.2424,8156.6538460368,0
NTT,D,20070914,000000,10.2657,10.345,9.8273,10.1892,20122.533653557,0
NTT,D,20070917,000000,10.2937,10.2937,9.95509,10.1892,3376.0913461054,0
NTT,D,20070918,000000,10.1892,10.3963,9.95509,10.3963,29099.355768813,0
NTT,D,20070919,000000,10.8365,10.8365,10.4485,10.6033,42600.504807081,0
NTT,D,20070920,000000,10.6033,10.7059,10.3692,10.4737,17544.096153594,0
NTT,D,20070921,000000,10.4737,10.5772,10.3692,10.4737,2766.057692268,0
NTT,D,20070924,000000,10.6033,10.6033,10.3963,10.4737,4739.8221153166,0
NTT,D,20070925,000000,10.4215,10.5772,10.2144,10.4215,835.1778846034,0
NTT,D,20070926,000000,10.1892,10.5772,10.1892,10.4215,3334.278846106,0
NTT,D,20070927,000000,10.5511,10.5511,10.1892,10.3692,9497.8701921714,0
NTT,D,20070928,000000,10.5259,10.5259,10.0605,10.2937,3699.8701922546,0
NTT,D,20071001,000000,10.4485,10.4485,10.1109,10.2937,6213.9807691416,0
NTT,D,20071002,000000,10.2937,10.3963,10.1109,10.2937,6335.1298076014,0
NTT,D,20071003,000000,10.1892,10.6546,10.1892,10.6546,26883.293268845,0
NTT,D,20071004,000000,10.4989,10.7321,10.345,10.6033,13043.355769044,0
NTT,D,20071005,000000,10.9914,11.302,10.6033,10.7582,25119.663461178,0
NTT,D,20071008,000000,10.9914,10.9914,10.4989,10.7582,5070.0336537734,0
NTT,D,20071009,000000,10.7582,10.7582,10.4989,10.6808,11241.129807531,0
NTT,D,20071010,000000,10.7582,10.7582,10.2144,10.5511,16882.600961296,0
NTT,D,20071011,000000,10.5511,10.5511,10.3692,10.5259,5467.78846146,0
NTT,D,20071012,000000,10.4989,10.4989,10.2937,10.2937,16850.437499758,0
NTT,D,20071015,000000,10.5259,10.5259,10.1631,10.4215,7767.475961427,0
NTT,D,20071016,000000,10.4737,11.8439,10.2657,11.0175,91308.850960228,0
NTT,D,20071017,000000,11.2497,11.6377,11.2497,11.3784,26931.538461152,0
NTT,D,20071018,000000,11.4307,11.5342,10.9914,10.9914,8187.7451921902,0
NTT,D,20071019,000000,10.9914,11.2497,10.9914,11.2236,7229.2740383578,0
NTT,D,20071022,000000,10.9914,11.1191,10.7321,10.8608,7134.927884513,0
NTT,D,20071023,000000,10.7843,11.0688,10.7582,10.8608,6964.4615383616,0
NTT,D,20071024,000000,10.8869,10.9391,10.8365,10.9391,1680.0048076682,0
NTT,D,20071025,000000,10.9391,10.9391,10.6546,10.8608,6742.5336537494,0
NTT,D,20071026,000000,10.5259,10.8095,10.0866,10.3692,51731.711537719,0
NTT,D,20071029,000000,10.5511,10.5511,10.345,10.5511,9411.0288460188,0
NTT,D,20071030,000000,10.5511,10.5511,10.3179,10.5259,5087.187499927,0
NTT,D,20071031,000000,10.4737,10.5511,10.3692,10.3692,7663.4807691208,0
NTT,D,20071102,000000,10.2657,10.3692,10.1379,10.3692,12249.99038444,0
NTT,D,20071105,000000,10.4215,10.4485,10.0866,10.2937,11947.653845982,0
NTT,D,20071106,000000,10.2937,10.2937,10.1379,10.2144,38776.269230213,0
NTT,D,20071107,000000,10.345,10.345,9.56893,9.69858,16155.706730537,0
NTT,D,20071108,000000,9.56893,9.69858,9.18091,9.43928,292810.79326503,0
NTT,D,20071109,000000,9.54188,9.69858,9.33482,9.56893,12186.735576748,0
NTT,D,20071112,000000,9.23222,9.46447,8.74141,9.23222,15176.865384398,0
NTT,D,20071113,000000,8.89736,9.15387,8.68862,9.12961,55352.245191513,0
NTT,D,20071114,000000,9.28352,9.28352,8.81789,8.81789,7893.9855768098,0
NTT,D,20071115,000000,8.81789,8.81789,7.68098,8.01714,44809.062499357,0
NTT,D,20071116,000000,7.55171,8.01714,7.2411,7.7584,100436.84134471,0
NTT,D,20071119,000000,7.68098,8.14623,7.68098,7.81082,29476.740384192,0
NTT,D,20071120,000000,7.70598,7.81082,7.36992,7.62875,16893.322115142,0
NTT,D,20071121,000000,7.60329,7.62875,6.95681,6.95681,139396.44230569,0
NTT,D,20071122,000000,6.59435,7.29287,6.41358,6.95681,156105.36057468,0
NTT,D,20071123,000000,7.06015,7.18952,6.98227,7.11164,13329.610576732,0
NTT,D,20071126,000000,7.2411,7.91398,7.2411,7.60329,108822.92788305,0
NTT,D,20071127,000000,7.39603,7.57717,7.36992,7.42224,14742.658653635,0
NTT,D,20071128,000000,7.60329,7.86165,7.60329,7.81082,24214.798076576,0
NTT,D,20071129,000000,8.0939,8.14623,7.60329,7.65496,22213.158653527,0
NTT,D,20071130,000000,7.62875,7.86165,7.62875,7.86165,10741.524038307,0
NTT,D,20071203,000000,8.01714,8.01714,7.5255,7.62875,21367.259615078,0
NTT,D,20071204,000000,7.62875,7.62875,7.31899,7.47308,21301.860576617,0
NTT,D,20071205,000000,7.57717,7.81082,7.2411,7.57717,38418.182691756,0
NTT,D,20071206,000000,7.68098,7.7584,7.55171,7.7584,23938.192307349,0
NTT,D,20071207,000000,7.42224,7.73172,7.42224,7.73172,5882.6971153002,0
NTT,D,20071210,000000,7.70598,7.73172,7.60329,7.62875,8986.4711537172,0
NTT,D,20071211,000000,7.65496,7.65496,7.31899,7.47308,13392.865384423,0
NTT,D,20071212,000000,7.47308,7.47308,7.21499,7.36992,8264.9374998814,0
NTT,D,20071213,000000,7.36992,7.36992,7.11164,7.2411,13013.336538275,0
NTT,D,20071214,000000,7.2411,7.2411,6.85318,7.11164,13045.499999813,0
NTT,D,20071217,000000,6.98227,6.98227,6.49119,6.49119,21513.067307384,0
NTT,D,20071218,000000,6.49119,6.69779,6.20661,6.36191,58933.110576077,0
NTT,D,20071219,000000,6.41358,6.41358,5.79313,5.92212,91309.923075613,0
NTT,D,20071220,000000,5.92212,5.94815,5.6895,5.6895,102082.53846007,0
NTT,D,20071221,000000,5.66366,6.02556,5.55994,5.89629,156032.45672853,0
NTT,D,20071227,000000,6.07733,6.54305,6.07733,6.43933,31750.697114929,0
NTT,D,20071228,000000,6.59435,6.59435,6.38765,6.41358,15953.076922848,0
NTT,D,20080102,000000,6.38765,7.36992,6.38765,7.2411,18275.278845892,0
NTT,D,20080103,000000,7.11164,7.34445,6.8793,7.34445,8779.5528844894,0
NTT,D,20080104,000000,7.42224,7.8874,7.11164,7.5255,31404.403845703,0
NTT,D,20080107,000000,7.49938,7.49938,7.00773,7.11164,13325.322115193,0
NTT,D,20080108,000000,7.13794,7.13794,6.8793,6.98227,6574.2115383672,0
NTT,D,20080109,000000,6.82706,6.82706,6.46544,6.64649,27033.389422689,0
NTT,D,20080110,000000,6.95681,6.95681,6.49119,6.69779,4594.014423011,0
NTT,D,20080111,000000,6.69779,6.93125,6.59435,6.93125,17635.225961285,0
NTT,D,20080114,000000,6.69779,6.8793,6.54305,6.85318,26618.480768849,0
NTT,D,20080115,000000,6.80113,6.98227,6.54305,6.59435,23561.879807354,0
NTT,D,20080116,000000,6.41358,6.41358,5.8185,6.07733,20325.163461247,0
NTT,D,20080117,000000,6.18077,6.43933,6.07733,6.20661,18794.182692038,0
NTT,D,20080118,000000,6.20661,6.56832,6.20661,6.56832,6701.7932691346,0
NTT,D,20080121,000000,6.46544,6.46544,5.8185,5.99982,15310.879807473,0
NTT,D,20080122,000000,5.35325,6.15512,5.35325,6.15512,27684.163461141,0
NTT,D,20080123,000000,6.18077,6.38765,5.7671,6.18077,15754.735576697,0
NTT,D,20080124,000000,6.41358,6.41358,6.18077,6.33589,15219.749999782,0
NTT,D,20080125,000000,6.46544,6.56832,6.33589,6.56832,16702.485576683,0
NTT,D,20080128,000000,6.05168,6.41358,6.05168,6.23235,3099.4855768786,0
NTT,D,20080129,000000,6.46544,6.46544,6.07733,6.129,7034.1490383606,0
NTT,D,20080130,000000,6.31014,6.31014,6.10326,6.20661,5529.9711537668,0
NTT,D,20080131,000000,5.94815,6.18077,5.94815,6.129,7408.317307586,0
NTT,D,20080201,000000,5.9738,6.20661,5.94815,6.10326,21521.64423046,0
NTT,D,20080204,000000,6.15512,6.18077,5.94815,6.15512,16708.918268991,0
NTT,D,20080205,000000,6.18077,6.18077,5.89629,5.94815,11732.158653678,0
NTT,D,20080206,000000,5.74136,5.89629,5.48253,5.74136,26695.67307654,0
NTT,D,20080207,000000,5.7671,5.7671,5.6118,5.71534,10508.874999849,0
NTT,D,20080208,000000,5.7671,5.8185,5.58597,5.79313,2762.8413461142,0
NTT,D,20080211,000000,5.71534,5.89629,5.71534,5.79313,3684.8605768702,0
NTT,D,20080212,000000,5.79313,5.89629,5.79313,5.89629,6055.3076922208,0
NTT,D,20080213,000000,5.89629,5.94815,5.7671,5.94815,4349.5721153222,0
NTT,D,20080214,000000,5.94815,5.94815,5.79313,5.92212,1911.5817307418,0
NTT,D,20080215,000000,5.89629,5.89629,5.74136,5.87036,2253.5865384292,0
NTT,D,20080218,000000,5.74136,5.89629,5.74136,5.8185,927.379807679,0
NTT,D,20080219,000000,5.84461,5.87036,5.71534,5.87036,2420.8365384268,0
NTT,D,20080220,000000,5.8185,5.84461,5.7671,5.84461,6031.7211537596,0
NTT,D,20080221,000000,5.87036,5.94815,5.87036,5.94815,1757.1971153594,0
NTT,D,20080222,000000,5.94815,6.43933,5.92212,6.38765,15284.076922858,0
NTT,D,20080225,000000,6.38765,6.46544,6.20661,6.46544,15283.004807473,0
NTT,D,20080226,000000,6.33589,6.49119,6.33589,6.33589,53018.249999239,0
NTT,D,20080227,000000,6.38765,6.43933,6.20661,6.20661,500.6778846082,0
NTT,D,20080228,000000,6.20661,6.38765,6.129,6.38765,2987.9855768802,0
NTT,D,20080229,000000,6.31014,6.31014,6.10326,6.20661,4595.0865383956,0
NTT,D,20080303,000000,6.07733,6.07733,5.6895,5.74136,16227.538461306,0
NTT,D,20080304,000000,5.74136,5.84461,5.6895,5.84461,5493.5192306904,0
NTT,D,20080305,000000,5.94815,5.94815,5.89629,5.92212,1921.2307692032,0
NTT,D,20080306,000000,5.92212,6.05168,5.92212,5.92212,1145.0192307528,0
NTT,D,20080307,000000,5.92212,5.92212,5.74136,5.74136,657.2067307598,0
NTT,D,20080310,000000,5.71534,5.89629,5.71534,5.89629,2894.71153842,0
NTT,D,20080311,000000,5.8185,5.92212,5.6895,5.8185,12264.999999824,0
NTT,D,20080312,000000,5.7671,5.7671,5.58597,5.74136,9501.0865383252,0
NTT,D,20080313,000000,5.71534,5.71534,5.43104,5.6895,11818.99999983,0
NTT,D,20080314,000000,5.6895,5.74136,5.6895,5.6895,5282.3124999242,0
NTT,D,20080317,000000,5.6895,5.6895,5.48253,5.50836,6572.067307598,0
NTT,D,20080318,000000,5.53439,5.53439,5.48253,5.53439,1065.6826922924,0
NTT,D,20080319,000000,5.50836,5.66366,5.43104,5.53439,5764.7644229942,0
NTT,D,20080320,000000,5.6118,5.6118,5.24981,5.30148,11626.019230602,0
NTT,D,20080325,000000,5.30148,5.58597,5.1722,5.24981,25219.370191946,0
NTT,D,20080326,000000,5.24981,5.3275,5.1722,5.24981,27720.615384218,0
