<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC,D,19971216,000000,12.9571,12.9571,12.9571,12.9571,42639.466665291,0
RPC,D,19971217,000000,13.5406,13.5406,13.5406,13.5406,38764.466665416,0
RPC,D,19971218,000000,12.9571,12.9571,12.9571,12.9571,28717.36666574,0
RPC,D,19971219,000000,12.4403,12.4403,12.4403,12.4403,10274.433333002,0
RPC,D,19971222,000000,11.2084,11.2084,11.2084,11.2084,0,0
RPC,D,19971223,000000,11.0777,11.0777,11.0777,11.0777,24281.266665883,0
RPC,D,19971229,000000,11.1416,11.1416,11.1416,11.1416,8830.8666663818,0
RPC,D,19971230,000000,11.34,11.34,11.34,11.34,12977.633332915,0
RPC,D,19971231,000000,11.0119,11.0119,11.0119,11.0119,18622.733332733,0
RPC,D,19980105,000000,11.2732,11.2732,11.2732,11.2732,8956.9333330444,0
RPC,D,19980106,000000,11.2732,11.2732,11.2732,11.2732,7512.333333091,0
RPC,D,19980107,000000,11.0119,11.0119,11.0119,11.0119,6875.7999997782,0
RPC,D,19980108,000000,10.8813,10.8813,10.8813,10.8813,7550.5666664231,0
RPC,D,19980109,000000,10.8813,10.8813,10.8813,10.8813,4618.999999851,0
RPC,D,19980112,000000,9.84581,9.84581,9.84581,9.84581,1544.8333332835,0
RPC,D,19980113,000000,10.0423,10.0423,10.0423,10.0423,8839.1333330482,0
RPC,D,19980114,000000,10.0423,10.0423,10.0423,10.0423,7622.8999997541,0
RPC,D,19980115,000000,10.1081,10.1081,10.1081,10.1081,9728.8333330195,0
RPC,D,19980116,000000,9.71613,9.71613,9.71613,9.71613,5206.9666664987,0
RPC,D,19980119,000000,9.84581,9.84581,9.84581,9.84581,3601.1666665505,0
RPC,D,19980120,000000,9.71613,9.71613,9.71613,9.71613,13437.466666233,0
RPC,D,19980121,000000,9.52355,9.52355,9.52355,9.52355,2483.0999999199,0
RPC,D,19980122,000000,9.39387,9.39387,9.39387,9.39387,10824.166666318,0
RPC,D,19980123,000000,9.06639,9.06639,9.06639,9.06639,4339.99999986,0
RPC,D,19980126,000000,9.58935,9.58935,9.58935,9.58935,10420.133332997,0
RPC,D,19980127,000000,9.39387,9.39387,9.39387,9.39387,4265.5999998624,0
RPC,D,19980128,000000,9.39387,9.39387,9.39387,9.39387,1246.1999999598,0
RPC,D,19980129,000000,10.2977,10.2977,10.2977,10.2977,7303.5999997644,0
RPC,D,19980130,000000,10.2319,10.2319,10.2319,10.2319,6831.3666664463,0
RPC,D,19980202,000000,10.6897,10.6897,10.6897,10.6897,3672.4666665482,0
RPC,D,19980203,000000,11.1416,11.1416,11.1416,11.1416,7996.9666664087,0
RPC,D,19980204,000000,11.34,11.34,11.34,11.34,13208.066666241,0
