<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,D,20000103,000000,20.5796,20.6509,20.13,20.3557,18629261.74861,0
SAN,D,20000104,000000,20.3665,20.472,19.9452,20.1387,18688472.771711,0
SAN,D,20000105,000000,19.8543,20.1016,19.5894,19.7478,19773391.946595,0
SAN,D,20000107,000000,19.5484,20.3137,19.5318,20.2599,20347016.76506,0
SAN,D,20000110,000000,20.3479,20.3479,19.8123,19.9843,14310570.923658,0
SAN,D,20000111,000000,20.0596,20.0948,19.0704,19.4174,32400074.586476,0
SAN,D,20000112,000000,19.1085,19.1594,18.83,19.1594,25558716.302855,0
SAN,D,20000113,000000,19.2669,19.2835,18.7479,18.9903,23395871.880479,0
SAN,D,20000114,000000,18.9483,19.4985,18.8104,19.3607,33361313.992388,0
SAN,D,20000117,000000,19.4849,19.52,18.5143,18.6677,67060957.687736,0
SAN,D,20000118,000000,18.7,18.7,17.7069,17.8272,42638697.292436,0
SAN,D,20000119,000000,17.5926,17.7802,17.3551,17.7646,43856420.262697,0
SAN,D,20000120,000000,17.9044,18.3989,17.8389,18.093,24947051.517395,0
SAN,D,20000121,000000,18.1878,18.3598,17.4059,17.5085,38705469.470774,0
SAN,D,20000124,000000,17.6776,18.0177,17.4909,17.6776,20996626.369,0
SAN,D,20000125,000000,17.6893,17.9122,17.5857,17.878,33623240.461027,0
SAN,D,20000126,000000,18.0344,18.308,17.8125,18.2572,48018359.536498,0
SAN,D,20000127,000000,18.3774,18.3941,17.9855,18.224,106265426.89447,0
SAN,D,20000128,000000,18.2406,18.2406,17.5134,17.5965,27784300.4282,0
SAN,D,20000131,000000,17.8741,18.0803,17.5994,17.8232,104760185.57438,0
SAN,D,20000201,000000,20.0117,20.0117,17.7597,18.052,24552901.352391,0
SAN,D,20000202,000000,18.2044,18.2211,17.791,18.05,22508385.873905,0
SAN,D,20000203,000000,18.1507,18.5465,17.9444,18.3393,24000850.692342,0
SAN,D,20000204,000000,18.3266,18.481,18.0725,18.2768,29302581.18723,0
SAN,D,20000207,000000,18.5123,18.871,18.3931,18.871,26283570.989302,0
SAN,D,20000208,000000,18.8544,19.2444,18.5983,19.1252,25797107.32595,0
SAN,D,20000209,000000,19.3969,19.3969,18.6257,18.9004,23000158.415144,0
SAN,D,20000210,000000,18.6843,18.8368,18.2054,18.4615,19267175.246941,0
SAN,D,20000211,000000,18.4234,18.439,17.2818,17.4176,36659757.985687,0
SAN,D,20000214,000000,18.009,18.8906,17.3658,18.179,56442571.681457,0
SAN,D,20000215,000000,18.4556,19.0831,18.2865,18.5055,44972662.73791,0
SAN,D,20000216,000000,18.8896,19.4311,18.5856,19.3812,71007646.466494,0
SAN,D,20000217,000000,19.1887,19.6276,19.1545,19.3246,35414796.962623,0
SAN,D,20000218,000000,19.3441,19.4125,18.8378,18.8378,38632462.936122,0
SAN,D,20000221,000000,18.6912,19.2649,18.5895,19.1291,18822258.745304,0
SAN,D,20000222,000000,19.3744,19.6481,18.9287,19.134,24458388.184077,0
SAN,D,20000223,000000,19.2503,19.524,18.9101,19.524,19815964.256825,0
SAN,D,20000224,000000,19.2346,19.4047,18.8104,18.8964,23349077.227015,0
SAN,D,20000225,000000,18.8358,19.1907,18.701,18.9043,20958571.05547,0
SAN,D,20000228,000000,18.8994,19.001,18.613,18.7479,20111378.910281,0
SAN,D,20000229,000000,18.7215,19.1398,18.6384,18.7889,15813579.834504,0
SAN,D,20000301,000000,18.7508,18.785,18.4517,18.6345,19282001.022518,0
SAN,D,20000302,000000,18.7176,18.9658,18.6677,18.9013,29784671.088206,0
SAN,D,20000303,000000,19.001,19.1662,18.571,18.6365,35409171.946121,0
SAN,D,20000306,000000,18.9013,18.9013,18.5221,18.5221,26057751.847395,0
SAN,D,20000307,000000,18.5338,18.7489,18.3696,18.4341,21170894.454804,0
SAN,D,20000308,000000,18.4908,18.8896,18.4762,18.7234,19391910.857498,0
SAN,D,20000309,000000,18.613,18.9434,18.5143,18.7283,31214826.929747,0
SAN,D,20000310,000000,18.9375,19.0186,18.6404,19.0186,126317810.65624,0
SAN,D,20000314,000000,19.0196,19.0861,18.7078,19.0861,49520148.90939,0
SAN,D,20000315,000000,18.9688,19.5152,18.9189,19.3832,70424409.601825,0
SAN,D,20000316,000000,19.523,19.7214,19.4399,19.6706,34781524.256371,0
SAN,D,20000317,000000,19.8387,20.3323,19.6901,20.1016,51692347.556188,0
SAN,D,20000320,000000,19.955,20.2668,19.955,20.0381,42280657.52347,0
SAN,D,20000321,000000,19.7947,19.9736,19.2718,19.6794,23210451.979494,0
SAN,D,20000322,000000,19.5396,19.7996,19.1672,19.3441,27289425.840757,0
SAN,D,20000323,000000,19.5298,19.74,19.1037,19.1525,22016913.101643,0
SAN,D,20000324,000000,19.1652,19.6061,19.0509,19.4438,11686664.422088,0
SAN,D,20000327,000000,19.1467,19.3412,18.9512,19.1633,13321721.055702,0
SAN,D,20000328,000000,19.1027,19.6412,19.0704,19.5279,16534028.019301,0
SAN,D,20000329,000000,19.2581,19.4692,19.0949,19.2581,10696135.64324,0
SAN,D,20000330,000000,19.4037,19.5357,19.1731,19.3226,17864679.999458,0
SAN,D,20000331,000000,19.0626,19.2102,19.0137,19.0137,54392557.028054,0
SAN,D,20000403,000000,19.1936,19.4262,19.0264,19.2258,16510753.464846,0
SAN,D,20000404,000000,19.48,20.0166,19.4643,19.6139,44456786.929345,0
SAN,D,20000405,000000,19.8084,19.9931,19.2337,19.437,27015644.685649,0
SAN,D,20000406,000000,19.176,19.176,18.5768,18.5934,45386093.265951,0
SAN,D,20000407,000000,18.7469,18.9619,18.6296,18.9111,23309003.332627,0
SAN,D,20000410,000000,18.9903,19.2874,18.7567,19.2728,18177220.362485,0
SAN,D,20000411,000000,19.0489,19.3656,19.0489,19.0665,18886660.989526,0
SAN,D,20000412,000000,19.2297,19.3451,18.8828,19.0978,16520527.161215,0
SAN,D,20000413,000000,19.0958,19.6745,19.0636,19.5933,24682970.395291,0
SAN,D,20000414,000000,19.9638,20.2169,19.4721,19.693,23404568.250115,0
SAN,D,20000417,000000,18.9952,19.4849,18.7059,19.4008,58301381.813414,0
SAN,D,20000418,000000,19.4546,19.5552,18.8828,19.1691,19551077.953203,0
SAN,D,20000419,000000,19.2092,19.2415,18.873,18.873,33087301.616158,0
SAN,D,20000420,000000,18.9649,19.52,18.8486,19.4194,48154763.628903,0
SAN,D,20000425,000000,19.0607,19.5259,18.9101,19.4585,24945871.880432,0
SAN,D,20000426,000000,19.5933,19.6921,19.2786,19.5269,17388013.563829,0
SAN,D,20000427,000000,19.5503,19.5503,18.9052,19.0704,20404467.029084,0
SAN,D,20000428,000000,19.6432,20.083,19.5249,20.0322,51963393.95882,0
SAN,D,20000502,000000,20.0997,20.5092,19.9628,20.5092,17008198.085293,0
SAN,D,20000503,000000,19.9276,20.1632,19.3568,19.391,20815763.365705,0
SAN,D,20000504,000000,19.6276,20.1378,19.5943,19.9335,21942678.844219,0
SAN,D,20000505,000000,20.1554,20.4144,19.8113,19.8113,15243252.474785,0
SAN,D,20000508,000000,19.2845,19.436,19.1682,19.3685,16245480.42855,0
SAN,D,20000510,000000,18.9189,19.0724,18.2611,18.3618,32318677.589779,0
SAN,D,20000511,000000,18.008,18.6814,17.8242,18.6814,24581559.471202,0
SAN,D,20000512,000000,18.8759,19.1144,18.4996,18.8065,14052798.250399,0
SAN,D,20000515,000000,18.6433,18.7107,18.223,18.4263,23643396.137897,0
SAN,D,20000516,000000,18.5641,18.7137,18.3804,18.482,19885213.959793,0
SAN,D,20000517,000000,18.6101,18.6433,17.8203,17.9044,32806791.517157,0
SAN,D,20000518,000000,17.9992,18.2856,17.8985,18.0999,30769113.43141,0
SAN,D,20000519,000000,18.2953,18.3286,17.5808,17.9562,26248469.372141,0
SAN,D,20000522,000000,18.0647,18.3726,17.7226,17.8076,16996939.867471,0
SAN,D,20000523,000000,18.0168,18.0686,17.5896,17.8633,18168700.989548,0
SAN,D,20000524,000000,17.6942,18.0197,17.6776,17.8662,17429127.953267,0
SAN,D,20000525,000000,18.1077,18.5895,17.9181,18.5895,17561058.019269,0
SAN,D,20000526,000000,18.4771,18.7391,18.3716,18.5289,12183540.19765,0
SAN,D,20000530,000000,18.4234,18.699,18.1282,18.5788,18028602.474701,0
SAN,D,20000531,000000,18.5553,18.6404,18.1947,18.5553,17239261.649642,0
SAN,D,20000601,000000,18.3931,19.1789,18.3608,19.1789,21090449.966357,0
SAN,D,20000602,000000,19.0607,19.3861,18.872,19.1789,29694903.068407,0
SAN,D,20000605,000000,19.3363,19.3519,19.0636,19.1144,14644957.590315,0
SAN,D,20000606,000000,19.6031,19.6207,18.8349,19.0108,22926854.157721,0
SAN,D,20000607,000000,18.8798,19.2786,18.4957,19.262,20698988.514224,0
SAN,D,20000608,000000,19.6373,19.7419,19.391,19.6549,18085438.877339,0
SAN,D,20000609,000000,19.695,19.783,19.2728,19.2728,19499918.745283,0
SAN,D,20000612,000000,19.3666,19.437,18.7342,19.0147,16056642.342747,0
SAN,D,20000613,000000,19.3646,19.5425,19.1173,19.1516,16330149.306436,0
SAN,D,20000614,000000,19.1672,19.4321,18.9913,19.3089,25679721.68239,0
SAN,D,20000615,000000,19.0499,19.5064,18.9629,19.5064,26759738.151004,0
SAN,D,20000616,000000,19.6598,19.9257,19.3949,19.9257,58238670.75731,0
SAN,D,20000620,000000,19.5259,19.5425,19.262,19.262,18856677.953224,0
SAN,D,20000621,000000,19.0646,19.221,18.8192,18.872,22291939.372261,0
SAN,D,20000622,000000,19.0665,19.5024,18.9961,19.4321,17991907.887243,0
SAN,D,20000623,000000,19.4409,19.5445,19.0216,19.1975,13259004.884086,0
SAN,D,20000626,000000,19.3128,19.6432,19.2249,19.522,15717417.425266,0
SAN,D,20000627,000000,19.2112,19.5406,19.2112,19.5064,13056664.917096,0
SAN,D,20000628,000000,19.5083,19.5787,19.3353,19.5083,16743942.012694,0
SAN,D,20000629,000000,19.564,19.5816,19.1261,19.4067,45728802.869901,0
SAN,D,20000630,000000,19.4389,19.8582,19.2991,19.8582,34529329.536907,0
SAN,D,20000703,000000,19.3881,19.5415,19.2161,19.4389,17646870.725538,0
SAN,D,20000704,000000,19.3206,20.0586,19.3206,19.9227,24156102.375505,0
SAN,D,20000705,000000,19.91,20.4447,19.563,19.5816,63744235.971664,0
SAN,D,20000706,000000,19.6158,20.0303,19.6158,19.8406,23082679.80128,0
SAN,D,20000710,000000,19.7908,20.0625,19.7566,19.91,30189965.906675,0
SAN,D,20000711,000000,19.7556,19.9257,19.3998,19.6882,38968271.71499,0
SAN,D,20000712,000000,19.2092,19.564,19.2092,19.4624,83227252.043681,0
SAN,D,20000713,000000,19.3294,19.6158,19.1946,19.565,79222697.62136,0
SAN,D,20000714,000000,19.5914,19.7957,19.5914,19.7429,54715252.704612,0
SAN,D,20000717,000000,19.565,19.5826,19.262,19.3451,36603401.418032,0
SAN,D,20000718,000000,19.2297,19.4819,19.2297,19.3461,41677903.959132,0
SAN,D,20000719,000000,19.3637,19.4301,19.2454,19.3812,21376848.019154,0
SAN,D,20000720,000000,19.4096,19.4438,19.2923,19.4272,22211685.180845,0
