<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG,D,19930930,000000,1.95485,1.95485,1.95485,1.95485,3784529.468617,0
VRG,D,19931004,000000,1.95485,1.95485,1.95485,1.95485,4609180.6028906,0
VRG,D,19931005,000000,1.95485,1.95485,1.95485,1.95485,3591367.2439531,0
VRG,D,19931007,000000,1.94539,1.94539,1.94539,1.94539,2650926.1535114,0
VRG,D,19931011,000000,1.89819,1.89819,1.89819,1.89819,1946405.1233514,0
VRG,D,19931012,000000,2.06817,2.06817,2.06817,2.06817,1899814.7288293,0
VRG,D,19931014,000000,2.21933,2.21933,2.21933,2.21933,2381481.1452834,0
VRG,D,19931018,000000,2.26654,2.26654,2.26654,2.26654,1214237.7589438,0
VRG,D,19931019,000000,2.23816,2.23816,2.23816,2.23816,726809.94522926,0
VRG,D,19931021,000000,2.17213,2.17213,2.17213,2.17213,1033103.8246913,0
VRG,D,19931026,000000,1.97377,1.97377,1.97377,1.97377,1195326.1425049,0
VRG,D,19931028,000000,2.16267,2.16267,2.16267,2.16267,2061665.5123962,0
VRG,D,19931102,000000,2.26654,2.26654,2.26654,2.26654,2112746.761713,0
VRG,D,19931104,000000,2.26654,2.26654,2.26654,2.26654,1967414.0767767,0
VRG,D,19931108,000000,2.17213,2.17213,2.17213,2.17213,1228310.0109991,0
VRG,D,19931109,000000,2.17213,2.17213,2.17213,2.17213,1144816.3233251,0
VRG,D,19931110,000000,2.24762,2.24762,2.24762,2.24762,1465871.1014178,0
VRG,D,19931115,000000,2.26654,2.26654,2.26654,2.26654,2054084.1206152,0
VRG,D,19931116,000000,2.26654,2.26654,2.26654,2.26654,1962808.0986944,0
VRG,D,19931118,000000,2.19096,2.19096,2.19096,2.19096,796219.86851921,0
VRG,D,19931122,000000,2.00205,2.00205,2.00205,2.00205,990631.704142,0
VRG,D,19931123,000000,2.20041,2.20041,2.20041,2.20041,753399.23838082,0
VRG,D,19931125,000000,2.23816,2.23816,2.23816,2.23816,1730011.0192347,0
VRG,D,19931129,000000,2.45544,2.45544,2.45544,2.45544,3299960.8987381,0
VRG,D,19931130,000000,2.7009,2.7009,2.7009,2.7009,3152732.8658566,0
VRG,D,19931202,000000,2.64424,2.64424,2.64424,2.64424,1807204.3233468,0
VRG,D,19931206,000000,2.90873,2.90873,2.90873,2.90873,2432001.4302166,0
VRG,D,19931207,000000,2.83315,2.83315,2.83315,2.83315,918109.26578347,0
VRG,D,19931209,000000,2.92764,2.92764,2.92764,2.92764,1747006.3562215,0
VRG,D,19931213,000000,3.04097,3.04097,3.04097,3.04097,1402496.7781281,0
VRG,D,19931214,000000,3.05979,3.05979,3.05979,3.05979,1593573.1781343,0
VRG,D,19931216,000000,3.11645,3.11645,3.11645,3.11645,1385872.9753878,0
VRG,D,19931220,000000,3.21095,3.21095,3.21095,3.21095,1562283.7151196,0
VRG,D,19931221,000000,3.09763,3.09763,3.09763,3.09763,1884238.5480069,0
VRG,D,19931223,000000,3.19203,3.19203,3.19203,3.19203,1981550.1699279,0
VRG,D,19931227,000000,3.38093,3.38093,3.38093,3.38093,1680084.1425207,0
VRG,D,19931228,000000,3.05033,3.05033,3.05033,3.05033,1740705.9726597,0
VRG,D,19931230,000000,3.21095,3.21095,3.21095,3.21095,1518816.3014196,0
VRG,D,19940103,000000,3.30535,3.30535,3.30535,3.30535,1180766.18634,0
VRG,D,19940104,000000,3.21095,3.21095,3.21095,3.21095,1863537.2877322,0
VRG,D,19940106,000000,3.45642,3.45642,3.45642,3.45642,2686345.4028276,0
VRG,D,19940110,000000,3.39976,3.39976,3.39976,3.39976,1645405.868547,0
VRG,D,19940111,000000,3.49425,3.49425,3.49425,3.49425,1551429.6822425,0
VRG,D,19940113,000000,3.84368,3.84368,3.84368,3.84368,3096558.9809232,0
VRG,D,19940117,000000,4.22139,4.22139,4.22139,4.22139,1264630.3616852,0
VRG,D,19940118,000000,4.63693,4.63693,4.63693,4.63693,1036651.7151024,0
VRG,D,19940120,000000,5.00528,5.00528,5.00528,5.00528,2160713.4028104,0
VRG,D,19940124,000000,4.90141,4.90141,4.90141,4.90141,1324827.2822351,0
VRG,D,19940125,000000,5.38299,5.38299,5.38299,5.38299,1696603.2877267,0
VRG,D,19940127,000000,5.38299,5.38299,5.38299,5.38299,1921246.498693,0
VRG,D,19940131,000000,4.84466,4.84466,4.84466,4.84466,1817528.7891006,0
VRG,D,19940201,000000,4.36309,4.36309,4.36309,4.36309,2361638.0767896,0
VRG,D,19940203,000000,4.79746,4.79746,4.79746,4.79746,1139415.9945578,0
VRG,D,19940207,000000,4.72197,4.72197,4.72197,4.72197,1343040.8329207,0
VRG,D,19940208,000000,4.96744,4.96744,4.96744,4.96744,2212599.4685656,0
VRG,D,19940210,000000,4.96744,4.96744,4.96744,4.96744,1248587.40826,0
VRG,D,19940214,000000,5.45857,5.45857,5.45857,5.45857,1601886.1260798,0
VRG,D,19940215,000000,5.66629,5.66629,5.66629,5.66629,2139376.8713029,0
VRG,D,19940217,000000,5.66629,5.66629,5.66629,5.66629,1394131.5014155,0
VRG,D,19940221,000000,5.47748,5.47748,5.47748,5.47748,1146351.6493526,0
VRG,D,19940222,000000,5.66629,5.66629,5.66629,5.66629,1544547.4027903,0
VRG,D,19940224,000000,6.233,6.233,6.233,6.233,2451113.9891213,0
VRG,D,19940228,000000,6.70511,6.70511,6.70511,6.70511,2307518.6192536,0
VRG,D,19940301,000000,6.6107,6.6107,6.6107,6.6107,1715578.7452616,0
VRG,D,19940303,000000,6.89401,6.89401,6.89401,6.89401,2130239.2219875,0
VRG,D,19940307,000000,7.08291,7.08291,7.08291,7.08291,1299997.2822343,0
VRG,D,19940308,000000,6.89401,6.89401,6.89401,6.89401,843012.25208238,0
VRG,D,19940310,000000,6.6107,6.6107,6.6107,6.6107,1200832.1753818,0
VRG,D,19940314,000000,6.4218,6.4218,6.4218,6.4218,866986.15345303,0
VRG,D,19940315,000000,6.233,6.233,6.233,6.233,739633.63290091,0
VRG,D,19940317,000000,6.233,6.233,6.233,6.233,1024473.7644171,0
VRG,D,19940321,000000,5.61909,5.61909,5.61909,5.61909,875583.76989166,0
VRG,D,19940322,000000,5.09968,5.09968,5.09968,5.09968,1595002.8000522,0
VRG,D,19940324,000000,5.57189,5.57189,5.57189,5.57189,1722768.7178646,0
VRG,D,19940328,000000,5.05248,5.05248,5.05248,5.05248,877108.63016569,0
VRG,D,19940329,000000,4.55199,4.55199,4.55199,4.55199,411918.44932855,0
VRG,D,19940331,000000,4.09861,4.09861,4.09861,4.09861,857042.64112393,0
VRG,D,19940405,000000,3.69252,3.69252,3.69252,3.69252,1377168.6082642,0
VRG,D,19940407,000000,4.01366,4.01366,4.01366,4.01366,1928573.5726658,0
VRG,D,19940408,000000,4.0042,4.0042,4.0042,4.0042,819049.8630405,0
VRG,D,19940411,000000,3.60758,3.60758,3.60758,3.60758,0,0
VRG,D,19940412,000000,3.24869,3.24869,3.24869,3.24869,0,0
VRG,D,19940414,000000,2.83315,2.83315,2.83315,2.83315,784974.41646404,0
VRG,D,19940418,000000,2.92764,2.92764,2.92764,2.92764,873307.46852173,0
VRG,D,19940419,000000,3.22031,3.22031,3.22031,3.22031,1635018.6082727,0
VRG,D,19940421,000000,3.77756,3.77756,3.77756,3.77756,1051454.4767467,0
VRG,D,19940425,000000,3.77756,3.77756,3.77756,3.77756,1088590.1096247,0
VRG,D,19940426,000000,3.39976,3.39976,3.39976,3.39976,0,0
VRG,D,19940428,000000,3.05979,3.05979,3.05979,3.05979,0,0
